director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,keywords
Christophe Gans,Deborah Kara Unger,Adventure Horror Mystery,Radha Mitchell,silent hill,Alice Krige,1299 1468 1715 2784 2871 3002 3032 3762 4426 6152 9712 9748 9887 10292 10349 11221 12446 13006 13031 14546 14819 15001 41645 157444 161264 162766 166701 169613 179878 191564 208736 210288 240443 247372
Howard Deutch,Jon Favreau,Comedy Sport,Keanu Reeves,the replacements,Faizon Love,579 4112 6075 8338 9789
Jon Hurwitz,Dania Ramirez,Comedy,Alyson Hannigan,american reunion,Natasha Lyonne,1157 9663 18187 33451 161158 161213 179173 179178 179431
F. Gary Gray,Michael Cudlitz,Action Crime Drama Mystery Thriller,Kevin Spacey,the negotiator,Siobhan Fallon Hogan,417 1562 6125 6139 6149 7188 9826 10410 14677 209140
Steven Quale,Alycia Debnam-Carey,Action Thriller,Matt Walsh,into the storm,Scott Lawrence,2213 2493 11710 12105 12336 163053 189411
John Landis,Jon Tenney,Action Comedy Crime Thriller,Louis Lombardi,beverly hills cop iii,Gilbert R. Hill,703 1568 4230 5340 6110 9663 10084 10889 10950 11719 12371 12670 14601 14819 14967 15124 15483 41249 155582 156768 163047 167541
Joe Dante,Robert Picardo,Comedy Fantasy Horror,Christopher Lee,gremlins 2: the new batch,Phoebe Cates,242 1299 1418 1852 1946 2526 2766 3586 3737 4713 5154 5155 5156 5157 6247 10005 11691 13001
David Dobkin,Robert Duvall,Crime Drama,Robert Downey Jr.,the judge,Leighton Meester,934 970 1415 1447 10041 10235 10909 11038 33519 214780 240119
Mimi Leder,Holt McCallany,Action Thriller,Armin Mueller-Stahl,the peacemaker,Marcel Iures,720 949 3312 3450 10663 13008 187056
Alexander Witt,Thomas Kretschmann,Action Horror Sci-Fi Thriller,Milla Jovovich,resident evil: apocalypse,Mike Epps,779 1852 4565 10084 10410 11738 12377 41645
Beeban Kidron,Jim Broadbent,Comedy Drama Romance,Colin Firth,bridget jones: the edge of reason,Celia Imrie,212 725 3434 5347 5348 156702 187056
Carl Franklin,Sanaa Lathan,Crime Drama Romance Thriller,Denzel Washington,out of time,John Billingsley,416 1196 6309 15160
Steven Seagal,Joan Chen,Action Adventure Thriller,Mike Starr,on deadly ground,Sven-Ole Thorsen,1721 3355 5175 6129 9880 161318
Robert Rodriguez,Kristin Davis,Action Adventure Family Fantasy,Taylor Lautner,the adventures of sharkboy and lavagirl 3-d,Taylor Dooley,7942 10216 15097
Danny Boyle,Virginie Ledoyen,Adventure Drama Thriller,Leonardo DiCaprio,the beach,Peter Youngblood Hills,270 966 3002 15058 34145 163699 198500
Garry Marshall,Felicity Huffman,Comedy Drama Romance,Amber Valletta,raising helen,Spencer Breslin,242 697 1499 2863 7024 9840 10235 15479
James McTeigue,Ben Miles,Action Crime Thriller,Shô Kosugi,ninja assassin,Rain,441 782 3075 9748 10278 191750
Sam Raimi,Kelly Preston,Drama Romance Sport,J.K. Simmons,for love of the game,Carmine Giovinazzo,1480 1482 3658 3754 4613 6075
Andrew Bergman,Rumer Willis,Comedy Crime Drama Thriller,Demi Moore,striptease,Paul Guilfoyle,1936 3688 4378 6149 33483
Tom Dey,Judy Greer,Comedy Family,Emma Stone,marmaduke,Steve Coogan,
Clint Eastwood,Jay Mohr,Drama Fantasy,Matt Damon,hereafter,Cécile De France,736 6155 6941
Barbet Schroeder,Chris Penn,Crime Mystery Thriller,Ryan Gosling,murder by numbers,Agnes Bruckner,703 1328 1812 1849 5801 6140 6258 6270 9104 9826 34143 160313
Richard Donner,Sylvester Stallone,Action Crime Thriller,Muse Watson,assassins,Kelly Rowan,271 441 591 974 977 1666 2350 2708 3045 3979 9823 10084 10950 11148 12355 18021 18107 33456 167861
Peter Webber,Stephen Walters,Crime Drama Thriller,Li Gong,hannibal rising,Richard Brake,1442 6259 8087 10714
Rob Reiner,Tim Matheson,Comedy Drama Romance,Bruce Willis,the story of us,Rita Wilson,2038 2726 2800 13027 14534 15160
Andrew Niccol,Chandler Canterbury,Action Adventure Romance Sci-Fi Thriller,J.D. Evermore,the host,Rachel Roberts,818 1583 4565 14900 14909 179431 212760 220392 246466
John McTiernan,Harry Connick Jr.,Action Crime Drama Mystery Thriller,Connie Nielsen,basic,Tim Daly,1803 4406 4596 5947 6148 6174 8681 8713 229211
Clint Eastwood,Anjelica Huston,Action Crime Drama Mystery Thriller,Clint Eastwood,blood work,Rick Hoffman,818 1922 2860 5340 6149 8440 9826 10714 185221 220075 263945 263947
Tom Tykwer,Brían F. O'Byrne,Action Crime Drama Mystery Thriller,Naomi Watts,the international,Armin Mueller-Stahl,179431
John Carpenter,Valeria Golino,Action Adventure Sci-Fi Thriller,Steve Buscemi,escape from l.a.,Michelle Forbes,378 840 3521 4565 5034 9663 12670 217083
Brad Bird,Harry Connick Jr.,Action Adventure Animation Comedy Drama Family Sci-Fi,Vin Diesel,the iron giant,M. Emmet Walsh,818 1415 1430 2106 6054 9951 10221 10891 205726 208611 240237
Wes Anderson,Anjelica Huston,Adventure Comedy Drama,Bill Murray,the life aquatic with steve zissou,Matthew Gray Gubler,970 2159 9823 10041 12988 181238 181239 226818 241500 241501 241503
Gary Ross,Donald Watkins,Action Biography Drama History War,Matthew McConaughey,free state of jones,Jessica Collins,2831 179585
Alan Parker,Kate Winslet,Crime Drama Thriller,Kevin Spacey,the life of david gale,Matt Craven,378 736 1556 1992 2122 2501 4434 9826 12193 174420 197521 208647
Stephen Herek,Vanessa Ferlito,Action Comedy,Christina Milian,man of the house,Kelli Garner,
Jaume Collet-Serra,Common,Action Crime Drama Thriller,Liam Neeson,run all night,Bruce McGill,2708 9748 9826 10562 11578
David Cronenberg,Naomi Watts,Crime Mystery Thriller,Viggo Mortensen,eastern promises,Raza Jaffrey,212 549 931 970 1449 2708 2913 3149 6019 6472 8045 9826 13014 14707 14735 173502 249899
John Stockwell,James Frain,Action Adventure Crime Thriller,Paul Walker,into the blue,Ashley Scott,269 1454 2150 2580 3180 3800 9504 15097 155334
Luc Besson,David Bailie,Adventure Biography Drama History War,Paul Brooke,the messenger: the story of joan of arc,Rab Affleck,254 570 4063 5565 5919 6078 8698 8701 9786 156525 187316 190855 193801 213097 235676 252783 252785 252786 252787
David Gordon Green,Zooey Deschanel,Adventure Comedy Fantasy,Natalie Portman,your highness,James Franco,1930 2052 2389 3071 7376 9748 10166 10466 12554 13027 13084 234213
Jim Sheridan,Gregory Smith,Drama Mystery Thriller,Naomi Watts,dream house,Sarah Gadon,15235 186694 186695
Costa-Gavras,Blythe Danner,Crime Drama Thriller,Mia Kirshner,mad city,William Atherton,736 1562 2598 10183
Patrick Read Johnson,Lara Flynn Boyle,Adventure Comedy Crime Drama Family,Joe Mantegna,baby's day out,Cynthia Nixon,520 690 1009 1930 160488 196581
Roland Joffé,Robert Duvall,Drama Romance,Gary Oldman,the scarlet letter,Demi Moore,818 1680 2871 3725 10223 15060 34094 207941
Doug Liman,Ty Burrell,Biography Drama Thriller,Naomi Watts,fair game,Brooke Smith,591 3617 5939 6083 179431
Tony Scott,Mo'Nique,Action Biography Crime Drama Thriller,Ian Ziering,domino,Edgar Ramírez,801 1812 6110 184989
William Friedkin,Chazz Palminteri,Crime Drama Thriller,Michael Biehn,jade,Linda Fiorentino,550 582 5340 9826 13059
Mark Neveldine,Logan Lerman,Action Sci-Fi Thriller,Gerard Butler,gamer,Alison Lohman,1563 4565 9678 10176 12662 171989 192210
Richard LaGravenese,Zoey Deutch,Drama Fantasy Romance,Alden Ehrenreich,beautiful creatures,Pruitt Taylor Vince,393 531 818 2343 3760 9673 165299 219800 246466
Danny DeVito,Vincent Schiavelli,Comedy Crime Drama Thriller,Robin Williams,death to smoochy,Danny Woodburn,417 2248 3836 8442 179431 211364
Ben Stiller,Will Ferrell,Comedy,Milla Jovovich,zoolander 2,Justin Theroux,6241 9663 15479 167193 173242
George Armitage,Andrew Wilson,Comedy Crime,Morgan Freeman,the big bounce,Willie Nelson,612 642 818 934 1668 1936 3182 3342 5739 6147 8430 8627 9758 13078 15156 33456 34145 155552 184302
Mike Nichols,Linda Fiorentino,Comedy Sci-Fi,Judy Greer,what planet are you from?,Garry Shandling,3767 4862 6935 9951 168550 237186
Patrick Lussier,Billy Burke,Action Fantasy Thriller,Nicolas Cage,drive angry,Katy Mixon,1930 4776 14819 163055 243552
Andrzej Bartkowiak,Robin Shou,Action Crime Drama Mystery Thriller,Chris Klein,street fighter: the legend of chun-li,Josie Ho,779 9748 10076 41645
James Wong,Jet Li,Action Sci-Fi Thriller,Jason Statham,the one,Delroy Lindo,779 851 3417 9820 12670 245157
Renny Harlin,Gilbert Gottfried,Action Adventure Comedy Crime Music Mystery,Lauren Holly,the adventures of ford fairlane,David Patrick Kelly,578 837 2570 5540 9826 155790
Richard Curtis,Charlie Rowe,Comedy Drama Music,Philip Seymour Hoffman,pirate radio,Tom Sturridge,
Steven Soderbergh,Jacob Vargas,Crime Drama Thriller,Michael O'Neill,traffic,James Lew,1601 2149 2231 3391 4436 4668 5616 6782 18026
Steven Spielberg,Julian Glover,Action Adventure Fantasy,Harrison Ford,indiana jones and the last crusade,Alison Doody,74 83 110 113 295 483 970 1294 1454 2652 2847 2901 5905 6956 10685 11117 14656 18034 41586 176731 184134 214548 240119
Joe Wright,Guro Nagelhus Schia,Drama Romance,Kelly Macdonald,anna karenina,Matthew Macfadyen,596 643 818 3563 34079 165282 186004 207928
Neill Blomkamp,Sharlto Copley,Action Crime Drama Sci-Fi Thriller,Hugh Jackman,chappie,Jose Pablo Cantillo,310 803 2964 4339 4565 14544 187019
Phillip Noyce,Angelina Jolie Pitt,Crime Drama Mystery Thriller,Denzel Washington,the bone collector,Leland Orser,242 444 703 818 856 5340 6259 10714 11727 14819 155716
David Fincher,Dwight Yoakam,Crime Drama Thriller,Kristen Stewart,panic room,Mel Rodriguez,1437 2321 3305 8430 10594
Chuck Bowman,Lochlyn Munro,Horror Thriller,P.J. Soles,the tooth fairy,Steve Bacic,
David O. Russell,Jamie Kennedy,Action Adventure Comedy Drama War,Judy Greer,three kings,Mykelti Williamson,1321 2952 3570 5939 8651 10084 10131 11088 13065 33564 159859 168818 168835 168839
Daniel Espinosa,Fares Fares,Crime Drama Thriller,Tom Hardy,child 44,Michael Nardone,818 1468 2111 9826 10714 162365 191543 208611
Jerry Zucker,Douglas Haase,Adventure Comedy,Corinna Harney,rat race,Vince Vieluf,585 795 7312 8666 33626
Iain Softley,Jeff Bridges,Drama Mystery Sci-Fi,Kevin Spacey,k-pax,Alfre Woodard,642 1566 3363 5340 9826 9951 11612 13194 14781 14784 15106 156810 180241 184130 199214 202735
James Mangold,Natasha Lyonne,Comedy Fantasy Romance,Hugh Jackman,kate & leopold,Bradley Whitford,1808 2038 4379 5091 6162 7879 11860
Harold Ramis,Frances O'Connor,Comedy Fantasy Romance,Brendan Fraser,bedazzled,Brian Doyle-Murray,2038 4896 4957 5810 9714 15001 188750
Francis Ford Coppola,Bob Hoskins,Crime Drama Music,Nicolas Cage,the cotton club,Fred Gwynne,1416 2334 2987 3017 4344 5823 10391 165643 166462 189920 198688 207876 214548 231149 238763 241927 262121 271074
James Mangold,Logan Lerman,Adventure Crime Drama Western,Christian Bale,3:10 to yuma,Gretchen Mol,970 1582 1701 1859 2019 3543 3593 3737 4776 5339 5692 9823 10726 12371 18035 193305 193552 206686 206687 206690
Olivier Megaton,Dougray Scott,Action Thriller,Liam Neeson,taken 3,Jon Gries,9748 9826 10562 10718 15124 180172 240303
Steven Soderbergh,Albert Brooks,Crime Drama Romance Thriller,Don Cheadle,out of sight,Keith Hudson,736 3303 8806 9098 9950 155552
Ben Stiller,Janeane Garofalo,Comedy Drama Thriller,Matthew Broderick,the cable guy,Andy Dick,378 549 1005 1523 10123 161257 208575 211775
Deepa Mehta,Gulshan Grover,Drama Romance War,Nandita Das,earth,Eric Peterson,4565
Warren Beatty,Warren Beatty,Action Comedy Crime Music Romance Thriller,Charlie Korsmo,dick tracy,Seymour Cassel,417 853 3149 5340 9717 33699
John McTiernan,Faye Dunaway,Crime Romance Thriller,Mark Margolis,the thomas crown affair,Denis Leary,930 3607 3925 3973 4480 4617 4812 10051 14604 33626
Penny Marshall,Adam Garcia,Biography Comedy Drama,Rosie Perez,riding in cars with boys,Alissa Dean,1009 1412 1525 1566 1803 4183 8650 13028 166113 187056
Ted Kotcheff,Brian Dennehy,Action Adventure Drama,Sylvester Stallone,first blood,Chris Mulkey,378 422 769 796 798 1008 1375 1419 2535 2801 2956 2957 3246 3737 4668 5034 5144 5385 5386 5387 6110 6112 6149 10685 11004
Andrei Tarkovsky,Anatoliy Solonitsyn,Drama Mystery Sci-Fi,Donatas Banionis,solaris,Natalya Bondarchuk,402 697 1565 3298 3801 9872 9882 11268 14626 156039 161348
Paul Bolger,George Carlin,Adventure Animation Comedy Family Fantasy,Sarah Michelle Gellar,happily n'ever after,Rob Paulsen,604 1994 2374 3071 3205 4174 5921 7376 7430 7432 46958 174420 177912 187056
Stephen Frears,Bronagh Gallagher,Drama Horror Romance Thriller,Julia Roberts,mary reilly,George Cole,964 1299 10124 156033 191009 207928
P.J. Hogan,Christopher Masterson,Comedy Romance,Julia Roberts,my best friend's wedding,Rupert Everett,520 1605 2038 3910 5756 7879 11327 13027 239145 244910
Joe Roth,Rainn Wilson,Comedy Romance,Julia Roberts,america's sweethearts,Larry King,886 1157 1907 2587 5809
Christopher Nolan,Maura Tierney,Drama Mystery Thriller,Al Pacino,insomnia,Crystal Lowe,612 703 718 1812 1849 1936 3298 4142 9673 9714 9826 9880 12670 13130 33720 207268 243370 243371
Jonathan Frakes,Alfre Woodard,Action Adventure Drama Sci-Fi Thriller,LeVar Burton,star trek: first contact,Jonathan Frakes,503 522 671 679 680 836 1436 1522 1523 4379 4583 49960 161176 211248 264783
Jimmy Hayward,Billy Blair,Action Drama Fantasy Thriller Western,Michael Fassbender,jonah hex,Julia Jones,75 849 6154 15518 34079 163188 175261
Edward Zwick,Matt Damon,Action Drama Mystery Thriller War,Denzel Washington,courage under fire,Scott Glenn,2952 3203 4595 6049 11107 11110 11117 11124
Tom Shadyac,Swoosie Kurtz,Comedy Fantasy Romance,Maura Tierney,liar liar,Randall 'Tex' Cobb,387 1022 1421 2251 3725 4896 6256
Brad Furman,Amy Ryan,Biography Crime Drama Thriller,Joseph Gilgun,the infiltrator,Olympia Dukakis,1568 5565 14964 18026
Terence Young,Ben Gazzara,Drama History War,Laurence Olivier,inchon,Jacqueline Bisset,3264 4278 207237 208611 231847 231849
Brian Levant,Elizabeth Perkins,Comedy Family Fantasy,Jonathan Winters,the flintstones,Harvey Korman,554 931 2374 2393 2783 4428 4812 6054 12392 12616 159955
Olivier Megaton,Luke Grimes,Action Crime Thriller,Liam Neeson,taken 2,D.B. Sweeney,1812 1930 5733 11148 11464 14819 155888 161994 163758 182045 185815
David Zucker,Pamela Anderson,Comedy,Regina Hall,scary movie 3,Jenny McCarthy,12416
Donald Petrie,Wendy Raquel Robinson,Action Comedy Crime Romance,Candice Bergen,miss congeniality,Heather Burns,4654 5340 5496 8290 9817 11860 13015 18420 214664 240103 268353
Eric Brevig,Brendan Fraser,Action Adventure Family Fantasy Sci-Fi,Josh Hutcherson,journey to the center of the earth,Anita Briem,818 3347 5746 10506 12616 166958
Garry Marshall,Raven-Symoné,Comedy Family Romance,Anne Hathaway,the princess diaries 2: royal engagement,Hector Elizondo,2505 4263 6038 13072
Alan J. Pakula,Julia Roberts,Crime Drama Mystery Thriller,Denzel Washington,the pelican brief,Tony Goldwyn,934 1992 3045 8681 254459
Joel Schumacher,Anthony LaPaglia,Crime Drama Mystery Thriller,Bradley Whitford,the client,Brad Renfro,236 380 3149 4009 4508 5301 5340 7255 10909 254459
Rob Reiner,Noel Gugliemi,Adventure Comedy Drama,Morgan Freeman,the bucket list,Sean Hayes,409 486 879 970 1157 2875 3230 3513 3737 4896 5973 6054 6564 7312 10163 12547 161194 171818 172971 189092 215787 226580
Phillip Noyce,Polly Walker,Action Thriller,Harrison Ford,patriot games,Patrick Bergin,441 782 1522 14552 155723
Robert Luketic,Jane Fonda,Comedy Romance,Adam Scott,monster-in-law,Elaine Stritch,2374 3262 5904 13072
Denis Villeneuve,Jake Gyllenhaal,Crime Drama Mystery Thriller,Hugh Jackman,prisoners,Dylan Minnette,703 904 1562 1930 2158 5340 7002 9748 9849 11004 11727 14707 166625 205685 207268 265839
Antoine Fuqua,Snoop Dogg,Crime Drama Thriller,Denzel Washington,training day,Tom Berenger,383 387 796 1601 2149 2231 8045 11734 12670 33426 155716 155799 164253 183637 206318 207268
Dean Parisot,Enrico Colantoni,Adventure Comedy Sci-Fi,Alan Rickman,galaxy quest,Robin Sachs,1612 2902 11931
Keenen Ivory Wayans,Veronica Cartwright,Comedy,Natasha Lyonne,scary movie 2,Andy Richter,2626 33468
James Bobin,Eric Jacobson,Adventure Comedy Family Musical,Bill Cobbs,the muppets,Steve Whitmire,4344 11691 12396 12670 12998 14544 156706 156708 179431 269769
Stephen Norrington,Traci Lords,Action Horror,Sanaa Lathan,blade,Udo Kier,1701 3133 6152 9259 9715 9717 9823 10044 13116 14731 14760 14819 33637 40884 175036 187710 202703 206695
Thomas Carter,Rick Gonzalez,Drama Sport,Channing Tatum,coach carter,Robert Ri'chard,577 5833 6075 6270 6278 6496 7920 10508 193547
Roger Michell,Matt Malloy,Drama Thriller,Sydney Pollack,changing lanes,Bruce Altman,242 4056 10909
Luis Llosa,Eric Stoltz,Action Adventure Horror Thriller,Frank Welker,anaconda,Kari Wuhrer,886 5968 10787 158233 158241 158244 217120 223059
David McNally,Tyra Banks,Comedy Drama Music Romance,Adam Garcia,coyote ugly,Izabella Miko,1010 4344 9767
Richard Curtis,Liam Neeson,Comedy Drama Romance,Colin Firth,love actually,Kris Marshall,212 699 840 916 1242 1438 1441 2182 2562 2568 2569 2570 7358 166466 171366 207317
John Lasseter,Madeline Kahn,Adventure Animation Comedy Family Fantasy,Kevin Spacey,a bug's life,John Ratzenberger,1442 1721 3126 3338 4295 8790 11539 179431
Albert Hughes,Jason Flemyng,Horror Mystery Thriller,Johnny Depp,from hell,Ian Richardson,212 697 1803 4007 158431
Luis Llosa,Rod Steiger,Action Crime Drama Romance Thriller,Sylvester Stallone,the specialist,Emilio Estefan Jr.,1653 9748 159358
Ron Shelton,Cheech Marin,Comedy Drama Romance Sport,Don Johnson,tin cup,Rene Russo,1808 2702 5756 6075 7439
Melville Shavelson,Tom Bosley,Comedy Family,Lucille Ball,"yours, mine and ours",Tim Matheson,4498 18035 212795
Jesse Dylan,Will Ferrell,Comedy Family Romance Sport,Josh Hutcherson,kicking & screaming,Robert Duvall,970 2200 6075 8864 13042 223149
Garth Jennings,Kelly Macdonald,Adventure Comedy Sci-Fi,Zooey Deschanel,the hitchhiker's guide to the galaxy,Thomas Lennon,211 803 818 3713 3801 4270 9951 10349 11097 11546 14544 14909 161176 177145 177146 221653 221654 221655
Joel Zwick,Nick Zano,Comedy Family Fantasy Romance,Dania Ramirez,fat albert,Alice Greczyn,
Russell Mulcahy,Mike Epps,Action Horror Sci-Fi Thriller,Milla Jovovich,resident evil: extinction,James Tumminia,402 1852 4458 4565 10410 11738 12377 41645
Frank Coraci,Adam Sandler,Comedy Romance,Bella Thorne,blended,Joel McHale,409 4513 14534 14724 18035
Wayne Wang,Alicia Witt,Adventure Comedy Drama,LL Cool J,last holiday,Timothy Hutton,65 9714
Curtis Hanson,Glenn Morshower,Action Adventure Crime Thriller,Meryl Streep,the river wild,William Lucking,1261 1621 1680 2347 2492 5809 7188 8158 15009 233153 241987
Frank Oz,Vincent Kartheiser,Drama Family Fantasy,Steve Coogan,the indian in the cupboard,David Keith,1990 4290 6186 6300 15101 33465 187065 197927
Oliver Stone,Shea Whigham,Crime Drama Thriller,Demián Bichir,savages,Gary Stretch,1653 4129 14819 34061 156173 156805 182022 184369 186219 186234 186243 186251 186265 186268 186281
David R. Ellis,Valerie Cruz,Action Crime Thriller,Richard Burgi,cellular,Will Beinbrink,974 6103 6110 6149 179431
Peter Howitt,Natalie Imbruglia,Action Adventure Comedy,Kevin McNally,johnny english,Ben Miller,470 1701 2011 2051 2505 3739 4289 6110 9253 10280 11931 14601 33705 33707 179431 246915
John A. Davis,Meryl Streep,Adventure Animation Comedy Family Fantasy,Nicolas Cage,the ant bully,Julia Roberts,3126 3650 6380 8790 10103 10624
David Lynch,Jürgen Prochnow,Action Adventure Sci-Fi,Virginia Madsen,dune,José Ferrer,530 818 2280 9714 9748 9882 10489 18034 194063
Julie Taymor,T.V. Carpio,Drama Fantasy Musical Romance,Jim Sturgess,across the universe,Robert Clohessy,2187 2957 4108 4344 6027 6344 10428 13160 18020 165431 165458 165461 187056 208992
Sam Mendes,Kate Winslet,Drama Romance,Leonardo DiCaprio,revolutionary road,Joe Komara,596 818 931 1157 1326 2355 3451 3658 5809 6981 10532 11678 156455 159700 183133 208611 215257 224672 230747
Richard Donner,David Zayas,Action Crime Drama Thriller,Bruce Willis,16 blocks,Sasha Roiz,3045 167863 175600 232411
Mathieu Kassovitz,Charlotte Rampling,Action Adventure Sci-Fi Thriller,Vin Diesel,babylon a.d.,David Belle,339 1009 1328 2964 3070 3246 3725 4556 4565 4690 6212 10629 12190 173162
John Gray,Bob Gunton,Action Comedy Crime Drama Thriller,Alexa PenaVega,the glimmer man,Keenen Ivory Wayans,4289 6162 8015 14676 180668
Harold Ramis,Brian Doyle-Murray,Comedy Romance Sci-Fi,John de Lancie,multiplicity,Obba Babatundé,402 2281 11628 33496
John Schultz,Carter Jenkins,Adventure Comedy Family Fantasy Sci-Fi,Malese Jow,aliens in the attic,Tim Meadows,9951 179431 179435 209220
Sean Penn,Adrien Dorval,Crime Drama Mystery Thriller,Costas Mandylor,the pledge,Nels Lennarson,6044 9826 13151 177996 187327 187328 187329
Susan Stroman,Will Ferrell,Comedy Musical,Jon Lovitz,the producers,Matthew Broderick,1332 2652 3836 4344 6946 33879 156028 179430 187056
Simon Wincer,Treat Williams,Action Adventure Comedy Fantasy,Cary-Hiroyuki Tagawa,the phantom,Kristy Swanson,530 1399 2011 2063 4270 4488 6128 161176
Billy Bob Thornton,Henry Thomas,Drama Romance Western,Matt Damon,all the pretty horses,Sam Shepard,246 316 769 1556 1563 1909 2752 3800 9849 9890 9897 13092 156795 156796 207883
Oliver Stone,Bob Hoskins,Biography Drama History,Anthony Hopkins,nixon,Joan Allen,521 840 1228 2946 4240 5565 6086 6165 9376 208992 249979
Roman Polanski,Olivia Williams,Mystery Thriller,Jim Belushi,the ghost writer,Timothy Hutton,212 591 818 1327 1700 10818 15188
Stephen Sommers,Jason Flemyng,Action Adventure Horror Sci-Fi,Djimon Hounsou,deep rising,Wes Studi,3347 4953 33696 155508 161171 166450 196917
Spike Lee,Omari Hardwick,Action Crime Drama Thriller War,Joseph Gordon-Levitt,miracle at st. anna,Laz Alonso,577 1956 5331 13065 15182 161192
Yimou Zhang,Ye Liu,Drama Romance,Li Gong,curse of the golden flower,Man Li,351 478 779 1400 1721 1813 2908 2983 3152 3998 4812 4933 5511 5513 5514 5515 5809 7879 251618
Danny Pang,Charlie Yeung,Action Crime Thriller,Nicolas Cage,bangkok dangerous,James With,782 1293 1419 1635 2708 3432 3434 3688 4488 5824 9714 9826 9856 10085 10391 10950 12391 14601 14967 15127 41644 195295 226409
Barry Sonnenfeld,Janeane Garofalo,Comedy Crime Thriller,Zooey Deschanel,big trouble,Omar Epps,177341
Mike Newell,Giovanna Mezzogiorno,Drama Romance,Marcela Mar,love in the time of cholera,Unax Ugalde,1459 1605 2148 3344 3452 3737 3799 6038 7728 10508 12974 13005 34094 211269
George P. Cosmatos,Ben Gazzara,Action Thriller,Sam Waterston,shadow conspiracy,Nicholas Turturro,833
Oliver Parker,Tim McInnerny,Action Adventure Comedy Crime,Daniel Kaluuya,johnny english reborn,Togo Igawa,1529 1918 2569 4289 9663 9678 15267 15268 15270 179430 191600
Lawrence Kasanoff,Larry Miller,Action Animation Comedy Family Fantasy,Jerry Stiller,foodfight!,Harvey Fierstein,1545 1721 3977 10159 10637
Ben Affleck,Scoot McNairy,Biography Drama History Thriller,Clea DuVall,argo,Tate Donovan,591 1157 2020 2562 5565 34061 185677 185684 185692 185702 208289
Andrew Davis,Daniel Roebuck,Action Adventure Crime Drama Mystery Thriller,Harrison Ford,the fugitive,Sela Ward,520 3262 3437 3440 3713 9714 9856 10085 10562 10685 10718 11207 11734 13005 14903 18118 173976 180172 226499
Andy Tennant,Dorian Missick,Action Comedy Romance,Gerard Butler,the bounty hunter,Peter Greene,801 163758
Barry Levinson,Brad Pitt,Crime Drama Thriller,Robert De Niro,sleepers,Minnie Driver,516 625 739 1499 1522 2400 3012 5319 6148 14857 208349
George P. Cosmatos,Julia Nickson,Action Adventure Thriller War,Sylvester Stallone,rambo: first blood part ii,Martin Kove,422 1375 1563 1968 2019 2434 2956 2957 3713 4276 4595 5774 6025 6086 9748 13065 33705 197602
Brian Gibson,Demi Moore,Drama Thriller,Joseph Gordon-Levitt,the juror,Anne Heche,1417 1936 3012 5153 11038 33519
Norman Ferguson,Dickie Jones,Animation Family Fantasy Musical,Mel Blanc,pinocchio,Cliff Edwards,818 15101
Michael Cimino,Sam Waterston,Adventure Drama Western,Jeff Bridges,heaven's gate,Isabelle Huppert,680 797 1411 1502 1691 2356 5948 9031
Len Wiseman,Tony Curran,Action Adventure Fantasy Sci-Fi Thriller,Sophia Myles,underworld: evolution,Derek Jacobi,810 2849 3133 3760 12564 34152
Paul McGuigan,Spencer Wilding,Drama Horror Sci-Fi Thriller,Daniel Radcliffe,victor frankenstein,Daniel Mays,212 1706 174413 207928
Gus Van Sant,Rob Brown,Drama,F. Murray Abraham,finding forrester,Michael Nouri,213 380 388 496 818 1310 1412 1992 2132 3192 3548 3549 3551 3553 3556 3558 3737 5614 6054 6059 6270 6278 170652
Betty Thomas,Viggo Mortensen,Comedy Drama,Steve Buscemi,28 days,Elizabeth Perkins,212 444 968 1375 1420 5385 5600 10124 11612 12377 14707 14765 14819 14837 17995 34117 162365 188957 208418 238332
Louis Leterrier,Jet Li,Action Crime Drama Thriller,Morgan Freeman,unleashed,Bob Hoskins,779 2708 10714
Roger Kumble,Lillian Adams,Comedy Romance,Judith Chapman,the sweetest thing,Chelsea Bond,1253 6038 179430 179431
Sydney Pollack,Holly Hunter,Drama Mystery Thriller,Tom Cruise,the firm,Wilford Brimley,1812 3703 6335 10909 162813 208043 254459
Burr Steers,Charlie Tahan,Drama Fantasy Romance,Augustus Prew,charlie st. cloud,Valerie Tian,380 818 3180 162846 206298
Simon West,Tony Goldwyn,Action Crime Thriller,Jason Statham,the mechanic,Mini Anden,351 520 549 779 782 822 1227 1422 2708 3713 4276 9665 9767 9844
Phil Lord,Dax Flame,Action Comedy Crime,Channing Tatum,21 jump street,Rob Riggle,3230 5340 6270 9755 9964 11199 167316 167541 179431
Roger Michell,Clarke Peters,Comedy Drama Romance,Julia Roberts,notting hill,Dylan Moran,212 817 886 1421 1605 2560 2562 2564 2565 2566 6054 10232 33648 162262 184989
Peter Lord,Miranda Richardson,Adventure Animation Comedy Drama Family,Imelda Staunton,chicken run,Julia Sawalha,323 2479 5215 6089 9180 10685 154846 185521 185522
John Hamburg,Masi Oka,Comedy Romance,Philip Seymour Hoffman,along came polly,Debra Messing,966 2676 3582 3817 4999 6192 9398 9799 10503 11510 12670 15478 33940 165301 167861 169276 173497 175357 188645 190084 226219
Reginald Hudlin,Eartha Kitt,Comedy Drama Romance,John Witherspoon,boomerang,Geoffrey Holder,2336 3836 6779 7769 8642 9094
Paul Feig,William Xifaras,Action Comedy Crime,Michael Rapaport,the heat,Demián Bichir,1680 1812 6149 15009 15050 18026 167541
