director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name
Eric Brevig,Tom Cavanagh,Adventure Animation Comedy Family,Justin Timberlake,yogi bear,Josh Robert Thompson
Kelly Asbury,Charles Napier,Adventure Animation Family Western,Matt Damon,spirit: stallion of the cimarron,Zahn McClarnon
Frank Coraci,Leslie Bibb,Comedy Family Romance,Rosario Dawson,zookeeper,Nicholas Turturro
Stephen Hopkins,William Hurt,Action Adventure Family Sci-Fi Thriller,Gary Oldman,lost in space,June Lockhart
Jonathan Demme,Dorian Missick,Drama Mystery Sci-Fi Thriller,Denzel Washington,the manchurian candidate,Jose Pablo Cantillo
Henry Jaglom,Stephen Dillane,Drama Romance,Vanessa Redgrave,déjà vu,Michael Brandon
Genndy Tartakovsky,Adam Sandler,Animation Comedy Family Fantasy,Steve Buscemi,hotel transylvania 2,Fran Drescher
James Algar,Penn Jillette,Animation Family Fantasy Music,Quincy Jones,fantasia 2000,Russi Taylor
Simon Wells,Alan Young,Action Adventure Sci-Fi,Mark Addy,the time machine,Josh Stamberg
Ron Underwood,Mika Boorem,Action Adventure Family Fantasy Thriller,Charlize Theron,mighty joe young,David Paymer
Dominic Sena,Don Cheadle,Action Crime Thriller,Hugh Jackman,swordfish,Sam Shepard
Martin Campbell,Nick Chinlund,Action Adventure Western,Michael Emerson,the legend of zorro,Adrian Alonso
Vincent Ward,Annabella Sciorra,Drama Fantasy Romance,Robin Williams,what dreams may come,Rosalind Chao
Steven Brill,Jon Lovitz,Comedy Fantasy,Adam Sandler,little nicky,Michael McKean
Terry Gilliam,Heath Ledger,Action Adventure Comedy Fantasy Thriller,Matt Damon,the brothers grimm,Mackenzie Crook
Tim Burton,Martin Short,Action Comedy Sci-Fi,Natalie Portman,mars attacks!,Lukas Haas
Lucile Hadzihalilovic,Roxane Duran,Drama Horror Mystery Sci-Fi,Nissim Renard,evolution,Julie-Marie Parmentier
Lee Tamahori,Harold Perrineau,Action Adventure Drama Thriller,Anthony Hopkins,the edge,Bart the Bear
Jonathan Mostow,Devin Ratray,Action Sci-Fi Thriller,Bruce Willis,surrogates,Boris Kodjoe
Roger Donaldson,Jon Foster,Drama History Thriller,Bruce Greenwood,thirteen days,Bruce Thomas
Rob Cohen,Viggo Mortensen,Action Adventure Drama Thriller,Sylvester Stallone,daylight,Amy Brenneman
Barry Cook,Tiya Sircar,Adventure Animation Family,Charlie Rowe,walking with dinosaurs 3d,Madison Rothschild
Roger Christian,Michael Byrne,Action Adventure Sci-Fi,Richard Tyson,battlefield earth,John Topor
Joe Dante,Jenna Elfman,Adventure Animation Comedy Family Fantasy Sci-Fi,Brendan Fraser,looney tunes: back in action,Heather Locklear
Rob Marshall,Elio Germano,Drama Musical Romance,Fergie,nine,Andrea Di Stefano
Richard Donner,Gerard Butler,Action Adventure Sci-Fi,Paul Walker,timeline,Ethan Embry
Kevin Costner,Brian Anthony Wilson,Action Adventure Drama Sci-Fi,Olivia Williams,the postman,Larenz Tate
George Miller,Elizabeth Daily,Adventure Comedy Drama Family Fantasy,Adam Goldberg,babe: pig in the city,Glenne Headly
Breck Eisner,Joseph Gilgun,Action Adventure Fantasy,Vin Diesel,the last witch hunter,Lotte Verbeek
Antony Hoffman,Val Kilmer,Action Sci-Fi Thriller,Bob Neill,red planet,Tom Sizemore
Luc Besson,Adam LeFevre,Adventure Animation Family Fantasy,Mia Farrow,arthur and the invisibles,Penny Balfour
Jacques Perrin,Jacques Perrin,Documentary Drama,Pedro Armendáriz Jr.,oceans,Rie Miyazawa
Peter Hyams,Catherine McCormack,Action Adventure Horror Sci-Fi Thriller,David Oyelowo,a sound of thunder,Jemima Rooper
Paul W.S. Anderson,Currie Graham,Action Adventure Drama History Romance,Sasha Roiz,pompeii,Dylan Schombing
Andrés Couturier,David Hoffman,Animation Family,Sariann Monaco,top cat begins,Ben Diskin
Ron Howard,Austin Pendleton,Biography Drama,Adam Goldberg,a beautiful mind,Judd Hirsch
Roger Allers,Nathan Lane,Adventure Animation Drama Family Musical,Matthew Broderick,the lion king,Niketa Calame
Brad Peyton,Dwayne Johnson,Action Adventure Comedy Family Fantasy Sci-Fi,Josh Hutcherson,journey 2: the mysterious island,Kristin Davis
Cody Cameron,Khamani Griffin,Animation Comedy Family Fantasy Sci-Fi,Will Forte,cloudy with a chance of meatballs 2,Melissa Sturm
Brett Ratner,Anthony Hopkins,Crime Drama Thriller,Philip Seymour Hoffman,red dragon,Emily Watson
Joe Johnston,Viggo Mortensen,Action Adventure Western,J.K. Simmons,hidalgo,Peter Mensah
Dennis Dugan,Adam Sandler,Comedy,Al Pacino,jack and jill,Tim Meadows
John Singleton,Cole Hauser,Action Crime Thriller,Paul Walker,2 fast 2 furious,Mo Gallini
Mark Osborne,James Franco,Adventure Animation Drama Family Fantasy,Jeff Bridges,the little prince,Mackenzie Foy
Oliver Hirschbiegel,Veronica Cartwright,Sci-Fi Thriller,Roger Rees,the invasion,Jeremy Northam
Des McAnuff,Janeane Garofalo,Adventure Animation Comedy Family Fantasy,Robert De Niro,the adventures of rocky & bullwinkle,Jonathan Winters
Yarrow Cheney,Eric Stonestreet,Animation Comedy Family,Steve Coogan,the secret life of pets,Albert Brooks
Stephen Norrington,Max Ryan,Action Adventure Fantasy Sci-Fi,Jason Flemyng,the league of extraordinary gentlemen,Tony Curran
Pierre Coffin,Miranda Cosgrove,Animation Comedy Family Sci-Fi,Steve Carell,despicable me 2,Steve Coogan
Roland Emmerich,Adam Baldwin,Action Adventure Sci-Fi,Will Smith,independence day,Mary McDonnell
Steven Spielberg,Richard Schiff,Action Adventure Sci-Fi,Ariana Richards,the lost world: jurassic park,Vanessa Lee Chester
Eric Darnell,Cedric the Entertainer,Adventure Animation Comedy Family,Jada Pinkett Smith,madagascar,Andy Richter
Alfonso Cuarón,Danny Huston,Drama Sci-Fi Thriller,Charlie Hunnam,children of men,Rita Davies
Bryan Singer,Tyler Mane,Action Adventure Sci-Fi,Hugh Jackman,x-men,Bruce Davison
Timur Bekmambetov,Morgan Freeman,Action Crime Fantasy Thriller,Angelina Jolie Pitt,wanted,Common
Michael Bay,Michael Biehn,Action Adventure Thriller,Nicolas Cage,the rock,Bokeem Woodbine
Carlos Saldanha,Ray Romano,Action Adventure Animation Comedy Family Fantasy,Denis Leary,ice age: the meltdown,Jay Leno
Peter Segal,Peter Dante,Comedy Romance,Adam Sandler,50 first dates,Allen Covert
Adam Shankman,Elijah Kelley,Comedy Drama Family Music Musical Romance,Jerry Stiller,hairspray,Paul Dooley
Renny Harlin,Alan Ford,Horror Mystery Thriller,James D'Arcy,exorcist: the beginning,Izabella Scorupco
David Kellogg,Rene Auberjonois,Action Adventure Comedy Family Sci-Fi,Matthew Broderick,inspector gadget,Rupert Everett
Louis Leterrier,Common,Crime Mystery Thriller,Morgan Freeman,now you see me,Michael Kelly
Dennis Dugan,Adam Sandler,Comedy,Steve Buscemi,grown ups,Salma Hayek
Steven Spielberg,Chi McBride,Comedy Drama,Tom Hanks,the terminal,Barry Shabaka Henley
Thor Freudenthal,Kevin Dillon,Comedy Family,Don Cheadle,hotel for dogs,Yvette Nicole Brown
Martin Campbell,Scott Glenn,Action Adventure Drama Thriller,Nicholas Lea,vertical limit,Ben Mendelsohn
Mike Nichols,Tom Hanks,Biography Comedy Drama History,Philip Seymour Hoffman,charlie wilson's war,Jud Tylor
Bibo Bergeron,Martin Scorsese,Adventure Animation Comedy Family,Robert De Niro,shark tale,Angelina Jolie Pitt
Bill Condon,Jennifer Hudson,Drama Music Musical,Loretta Devine,dreamgirls,Anika Noni Rose
F. Gary Gray,Christina Milian,Comedy Crime Music,Dwayne Johnson,be cool,Debi Mazar
Steven Spielberg,Moritz Bleibtreu,Drama History Thriller,Ayelet Zurer,munich,Mathieu Amalric
Antoine Fuqua,Tom Skerritt,Action Drama Thriller War,Bruce Willis,tears of the sun,Cole Hauser
Robert Luketic,Lisa Ann Walter,Action Comedy Romance Thriller,Tom Selleck,killers,Catherine O'Hara
Guy Ritchie,Elizabeth Debicki,Action Adventure Comedy,Henry Cavill,the man from u.n.c.l.e.,Christian Berkel
James L. Brooks,Paz Vega,Comedy Drama Romance,Adam Sandler,spanglish,Sarah Steele
Gil Kenan,Jon Heder,Animation Comedy Family Fantasy Mystery,Steve Buscemi,monster house,Catherine O'Hara
Barry Levinson,Brían F. O'Byrne,Comedy Crime Drama Romance,Bruce Willis,bandits,Azura Skye
Jerry Zucker,Ben Cross,Action Adventure Romance Thriller,Julia Ormond,first knight,John Gielgud
Andy Tennant,Geoffrey Palmer,Drama History Romance,Bai Ling,anna and the king,Randall Duk Kim
Tarsem Singh,Daniel Sharman,Action Drama Fantasy Romance,Henry Cavill,immortals,Steve Byers
Florent-Emilio Siri,Bruce Willis,Action Crime Drama Mystery Thriller,Jimmy Bennett,hostage,Ransford Doherty
Don Bluth,Janeane Garofalo,Action Adventure Animation Family Sci-Fi,Matt Damon,titan a.e.,Nathan Lane
Ron Shelton,Bruce Greenwood,Action Comedy Crime Thriller,Harrison Ford,hollywood homicide,Lena Olin
Paul W.S. Anderson,Sean Pertwee,Action Drama Sci-Fi,Connie Nielsen,soldier,Jason Scott Lee
David Pastor,Kiernan Shipka,Drama Horror Sci-Fi Thriller,Christopher Meloni,carriers,Lou Taylor Pucci
Henry Selick,Bridget Fonda,Animation Comedy Fantasy,Brendan Fraser,monkeybone,Megan Mullally
John Moore,Tony Curran,Action Adventure Drama Thriller,Dennis Quaid,flight of the phoenix,Miranda Otto
M. Night Shyamalan,Bruce Willis,Drama Mystery Sci-Fi Thriller,Robin Wright,unbreakable,Michael Kelly
Kyle Balda,Jon Hamm,Action Animation Comedy Family Sci-Fi,Steve Carell,minions,Steve Coogan
Zack Snyder,Abbie Cornish,Action Fantasy,Jon Hamm,sucker punch,Scott Glenn
Brian De Palma,Mike Starr,Crime Mystery Thriller,Nicolas Cage,snake eyes,John Heard
Barry Levinson,James Pickens Jr.,Drama Mystery Sci-Fi Thriller,Peter Coyote,sphere,Huey Lewis
Clay Kaytis,Josh Gad,Action Animation Comedy Family,Peter Dinklage,the angry birds movie,Keegan-Michael Key
Andy Tennant,Ray Winstone,Action Adventure Comedy Romance Thriller,Matthew McConaughey,fool's gold,Alexis Dziena
Judd Apatow,RZA,Comedy Drama,Adam Sandler,funny people,Maude Apatow
Peter Berg,Frances Fisher,Action Drama Thriller,Jennifer Garner,the kingdom,Tim McGraw
Adam McKay,Leslie Bibb,Action Comedy Sport,Will Ferrell,talladega nights: the ballad of ricky bobby,Gary Cole
Steve Carr,Jeffrey Jones,Comedy Family Fantasy,Raven-Symoné,dr. dolittle 2,Kevin Pollak
Mel Gibson,Patrick McGoohan,Biography Drama History War,Mhairi Calvey,braveheart,James Robinson
Sam Mendes,Brian Geraghty,Action Drama War,Jake Gyllenhaal,jarhead,James Morrison
David Silverman,Yeardley Smith,Adventure Animation Comedy,Albert Brooks,the simpsons movie,Marcia Wallace
Frank Darabont,Hal Holbrook,Drama Romance,Martin Landau,the majestic,Jeffrey DeMunn
Renny Harlin,Estella Warren,Action Drama Sport,Sylvester Stallone,driven,Cristián de la Fuente
Jean-Jacques Annaud,Jean-Claude Dreyfus,Adventure Drama Family,David Gant,two brothers,Oanh Nguyen
M. Night Shyamalan,Judy Greer,Drama Mystery Romance Thriller,Bryce Dallas Howard,the village,William Hurt
Betty Thomas,Raven-Symoné,Comedy Family Fantasy,Oliver Platt,doctor dolittle,Peter Boyle
M. Night Shyamalan,Merritt Wever,Drama Sci-Fi Thriller,Rory Culkin,signs,Cherry Jones
Andrew Adamson,Jennifer Saunders,Adventure Animation Comedy Family Fantasy Romance,Rupert Everett,shrek 2,Conrad Vernon
John Lasseter,Cheech Marin,Adventure Animation Comedy Family Sport,John Ratzenberger,cars,George Carlin
Garry Marshall,Christopher Meloni,Comedy Romance,Julia Roberts,runaway bride,Hector Elizondo
Rob Cohen,Eve,Action Adventure Thriller,Vin Diesel,xxx,Leila Arcieri
Paul Tibbitt,Billy West,Adventure Animation Comedy Family Fantasy,Tim Conway,the spongebob movie: sponge out of water,Eddie Deezen
Ron Howard,Delroy Lindo,Crime Thriller,Lili Taylor,ransom,Rene Russo
Quentin Tarantino,Brad Pitt,Adventure Drama War,Michael Fassbender,inglourious basterds,Christoph Waltz
Steven Spielberg,Julia Roberts,Adventure Comedy Family Fantasy,Robin Williams,hook,Bob Hoskins
Brett Ratner,Rufus Sewell,Action Adventure,Dwayne Johnson,hercules,Ingrid Bolsø Berdal
Renny Harlin,John Amos,Action Thriller,Bruce Willis,die hard 2,Franco Nero
Clark Johnson,Josh Charles,Action Adventure Crime Thriller,Jeremy Renner,s.w.a.t.,LL Cool J
Cameron Crowe,Ivana Milicevic,Fantasy Mystery Romance Sci-Fi Thriller,Tom Cruise,vanilla sky,Noah Taylor
M. Night Shyamalan,Freddy Rodríguez,Drama Fantasy Mystery Thriller,Bryce Dallas Howard,lady in the water,Bob Balaban
Paul W.S. Anderson,Colin Salmon,Action Horror Sci-Fi Thriller,Sanaa Lathan,avp: alien vs. predator,Raoul Bova
Betty Thomas,Bridgit Mendler,Animation Comedy Family Fantasy Music,Amy Poehler,alvin and the chipmunks: the squeakquel,Jesse McCartney
Randall Wallace,Marc Blucas,Action Drama History War,Jon Hamm,we were soldiers,Chris Klein
Antoine Fuqua,Morgan Freeman,Action Thriller,Gerard Butler,olympus has fallen,Radha Mitchell
Jonathan Frakes,Jonathan Frakes,Action Adventure Sci-Fi Thriller,LeVar Burton,star trek: insurrection,Michael Dorn
Jonathan Liebesman,Jim Parrack,Action Sci-Fi,Noel Fisher,battle los angeles,Ramon Rodriguez
Tim Burton,Alison Lohman,Adventure Drama Fantasy,Steve Buscemi,big fish,Albert Finney
Mike Nichols,Peter Gerety,Drama Horror Romance Thriller,David Hyde Pierce,wolf,Ron Rifkin
Steven Spielberg,Benedict Cumberbatch,Drama War,Jeremy Irvine,war horse,Eddie Marsan
George Clooney,Matt Damon,Drama War,Bill Murray,the monuments men,Bob Balaban
James Cameron,Todd Graff,Adventure Drama Sci-Fi Thriller,Michael Biehn,the abyss,Mary Elizabeth Mastrantonio
Oliver Stone,Austin Pendleton,Drama,Frank Langella,wall street: money never sleeps,John Buffalo Mailer
Gary Shore,Sarah Gadon,Action Drama Fantasy Horror War,Dominic Cooper,dracula untold,Zach McGowan
Edward Zwick,Bruce Willis,Action Thriller,Denzel Washington,the siege,Mark Valley
Matthew Vaughn,David Kelly,Adventure Family Fantasy Romance,Henry Cavill,stardust,Nathaniel Parker
Jean-Jacques Annaud,Mako,Adventure Biography Drama History War,Brad Pitt,seven years in tibet,Victor Wong
Ron Howard,Clint Howard,Comedy Drama,Channing Tatum,the dilemma,Chelcie Ross
Joel Schumacher,Brooke Smith,Action Adventure Comedy Thriller,Anthony Hopkins,bad company,Garcelle Beauvais
Andrzej Bartkowiak,Ben Daniels,Action Adventure Horror Sci-Fi,Dwayne Johnson,doom,Dexter Fletcher
Betty Thomas,Phill Lewis,Action Adventure Comedy Thriller,Gary Cole,i spy,Tate Taylor
Måns Mårlind,Stephen Rea,Action Fantasy Horror,Theo James,underworld: awakening,Sandrine Holt
Adam Shankman,Shane Hartline,Comedy Drama Musical Romance,James Martin Kelly,rock of ages,Celina Beach
Gregory Hoblit,Cole Hauser,Drama War,Bruce Willis,hart's war,Rory Cochrane
Gary McKendry,Robert De Niro,Action Crime Thriller,Jason Statham,killer elite,Ben Mendelsohn
John McTiernan,Chris Klein,Action Sci-Fi Sport,LL Cool J,rollerball,Andrew Bryniarski
Wych Kaosayananda,Sandrine Holt,Action Crime Sci-Fi Thriller,Talisa Soto,ballistic: ecks vs. sever,Gregg Henry
Mikael Salomon,Minnie Driver,Action Crime Drama Thriller,Morgan Freeman,hard rain,Randy Quaid
Bobby Farrelly,Brandy Norwood,Action Adventure Animation Comedy Crime Family Fantasy,Ron Howard,osmosis jones,David Hyde Pierce
Will Finn,Oliver Platt,Adventure Animation Family Fantasy Musical,Lea Michele,legends of oz: dorothy's return,Jim Belushi
Michael Mann,Archie Kao,Action Crime Drama Mystery Thriller,Chris Hemsworth,blackhat,Brandon Molale
Kerry Conran,Laurence Olivier,Action Adventure Mystery Sci-Fi Thriller,Angelina Jolie Pitt,sky captain and the world of tomorrow,Bai Ling
Michael Caton-Jones,Indira Varma,Crime Mystery Thriller,Charlotte Rampling,basic instinct 2,Neil Maskell
Mikael Håfström,50 Cent,Action Crime Mystery Sci-Fi Thriller,Sylvester Stallone,escape plan,Matt Gerald
Renny Harlin,Luke Newberry,Action Adventure Fantasy,Roxanne McKee,the legend of hercules,Gaia Weiss
Phil Alden Robinson,Bruce McGill,Action Drama Thriller,Morgan Freeman,the sum of all fears,Philip Baker Hall
David Slade,Kristen Stewart,Adventure Drama Fantasy Romance,Robert Pattinson,the twilight saga: eclipse,Anna Kendrick
Frank Oz,Marlon Brando,Crime Drama Thriller,Robert De Niro,the score,Gary Farmer
Pierre Coffin,Miranda Cosgrove,Animation Comedy Family,Steve Carell,despicable me,Jack McBrayer
Joseph Ruben,Robert Blake,Action Comedy Crime Drama Thriller,Vincent Pastore,money train,Aida Turturro
Seth MacFarlane,Morgan Freeman,Comedy,Liam Neeson,ted 2,Seth MacFarlane
Alejandro Amenábar,Ashraf Barhom,Adventure Drama History Romance,Max Minghella,agora,Rupert Evans
Kinka Usher,Wes Studi,Action Comedy Fantasy Sci-Fi,Janeane Garofalo,mystery men,Eddie Izzard
Bobby Farrelly,Larry Joe Campbell,Comedy Romance,Jenna Fischer,hall pass,Stephen Merchant
Michael Mann,Rip Torn,Biography Drama Thriller,Al Pacino,the insider,Debi Mazar
Craig Gillespie,Abraham Benrubi,Action Drama History Thriller,Michael Raymond-James,the finest hours,Graham McTavish
Ridley Scott,Simon McBurney,Action Drama Thriller,Leonardo DiCaprio,body of lies,Michael Gaston
Jay Roach,Stephanie Szostak,Comedy,Steve Carell,dinner for schmucks,Bruce Greenwood
Timur Bekmambetov,Dominic Cooper,Action Fantasy Horror,Rufus Sewell,abraham lincoln: vampire hunter,Benjamin Walker
Jon Amiel,Kevin McNally,Action Crime Romance Thriller,Will Patton,entrapment,Maury Chaykin
Rob Bowman,Mitch Pileggi,Drama Mystery Sci-Fi Thriller,Martin Landau,the x files,Jeffrey DeMunn
Doug Lefler,Nonso Anozie,Action Adventure Fantasy War,Colin Firth,the last legion,Owen Teale
Steven Spielberg,Vin Diesel,Action Drama War,Tom Hanks,saving private ryan,Matt Damon
Scott Waugh,Dominic Cooper,Action Crime Drama Thriller,Rami Malek,need for speed,Ramon Rodriguez
Nancy Meyers,Lisa Edelstein,Comedy Fantasy Romance,Judy Greer,what women want,Loretta Devine
Chris Wedge,Stephen Root,Adventure Animation Comedy Family,Goran Visnjic,ice age,Denis Leary
Lawrence Kasdan,Michael O'Neill,Drama Horror Sci-Fi Thriller,Morgan Freeman,dreamcatcher,Reece Thompson
Steven Spielberg,Hal Holbrook,Biography Drama History War,Joseph Gordon-Levitt,lincoln,Bruce McGill
Lana Wachowski,Marcus Chong,Action Sci-Fi,Keanu Reeves,the matrix,Gloria Foster
Ron Howard,Miko Hughes,Adventure Drama History,Tom Hanks,apollo 13,Kathleen Quinlan
Paul Verhoeven,Rachel Ticotin,Action Sci-Fi,Ronny Cox,total recall,Marshall Bell
Michael Lembeck,Aisha Tyler,Comedy Family Fantasy,Judge Reinhold,the santa clause 2,Eric Lloyd
Tom Hooper,Eddie Redmayne,Drama Musical Romance,Hugh Jackman,les misérables,Anne Hathaway
Nora Ephron,Jean Stapleton,Comedy Drama Romance,Tom Hanks,you've got mail,Dave Chappelle
Adam McKay,Adam Scott,Comedy,Will Ferrell,step brothers,Andrea Savage
Martin Campbell,Tony Amendola,Action Adventure Comedy Romance Thriller Western,Anthony Hopkins,the mask of zorro,Stuart Wilson
Todd Phillips,RZA,Comedy Drama,Robert Downey Jr.,due date,Matt Walsh
Angelina Jolie Pitt,Jack O'Connell,Biography Drama Sport War,Finn Wittrock,unbroken,Alex Russell
Clint Eastwood,Courtney B. Vance,Action Adventure Thriller,Clint Eastwood,space cowboys,William Devane
Renny Harlin,Leon,Action Adventure Thriller,Sylvester Stallone,cliffhanger,Janine Turner
John Woo,Samantha Mathis,Action Crime Thriller,Delroy Lindo,broken arrow,Bob Gunton
Jon Turteltaub,Lily Tomlin,Comedy Family Fantasy,Bruce Willis,the kid,Daniel von Bargen
Oliver Stone,Jay Hernandez,Drama History Thriller,Nicolas Cage,world trade center,Armando Riesco
Mike Newell,Kirsten Dunst,Drama,Julia Roberts,mona lisa smile,Marian Seldes
Larry Charles,Aasif Mandvi,Comedy Romance,Sayed Badreya,the dictator,Horatio Sanz
Stanley Kubrick,Vinessa Shaw,Drama Mystery Thriller,Tom Cruise,eyes wide shut,Sydney Pollack
Will Gluck,Dorian Missick,Comedy Drama Family Musical,Quvenzhané Wallis,annie,David Zayas
Glenn Ficarra,Adrian Martinez,Comedy Crime Drama Romance,Will Smith,focus,Gerald McRaney
McG,Abigail Spencer,Action Comedy Romance,Tom Hardy,this means war,Warren Christie
David S. Goyer,Natasha Lyonne,Action Adventure Fantasy Horror Sci-Fi Thriller,Ryan Reynolds,blade: trinity,John Michael Higgins
John Milius,Jennifer Grey,Action Drama War,Lea Thompson,red dawn,William Smith
Mike Nichols,Adrian Lester,Comedy Drama,Maura Tierney,primary colors,Paul Guilfoyle
Paul W.S. Anderson,Boris Kodjoe,Action Horror Sci-Fi Thriller,Milla Jovovich,resident evil: retribution,Bingbing Li
Paul W.S. Anderson,Max Ryan,Action Sci-Fi Thriller,Jason Statham,death race,Joan Allen
Renny Harlin,Craig Bierko,Action Crime Drama Mystery Thriller,Melina Kanakaredes,the long kiss goodnight,Yvonne Zima
Taylor Hackford,Alun Armstrong,Action Drama Thriller,Pamela Reed,proof of life,Michael Kitchen
Jon Favreau,Josh Hutcherson,Action Adventure Comedy Family Fantasy Sci-Fi,Kristen Stewart,zathura: a space adventure,Jonah Bobo
David Fincher,Meat Loaf,Drama,Brad Pitt,fight club,Eugenie Bondurant
McG,Kimberly Williams-Paisley,Drama Sport,Matthew McConaughey,we are marshall,Brian Geraghty
Michael Lehmann,James Coburn,Action Adventure Comedy,Bruce Willis,hudson hawk,Richard E. Grant
Nora Ephron,Michael Moore,Comedy Crime,Michael Rapaport,lucky numbers,Richard Schiff
Stuart Beattie,Kevin Grevioux,Action Fantasy Sci-Fi Thriller,Caitlin Stasey,"i, frankenstein",Miranda Otto
Roman Polanski,Barney Clark,Crime Drama,Ian McNeice,oliver twist,Tony Noble
Rob Bowman,Cary-Hiroyuki Tagawa,Action Crime Fantasy Thriller,Jennifer Garner,elektra,Goran Visnjic
Frank Miller,Bruce Willis,Action Crime Thriller,Joseph Gordon-Levitt,sin city: a dame to kill for,Eva Green
Sydney Pollack,Kristin Scott Thomas,Drama Mystery Romance,Harrison Ford,random hearts,Bill Cobbs
Baltasar Kormákur,Martin Henderson,Adventure Biography Drama History Sport Thriller,Michael Kelly,everest,Tom Goodman-Hill
Tom Tykwer,David Calder,Crime Drama Fantasy,Michael Smiley,perfume: the story of a murderer,Simon Chandler
Jay Roach,Josh Zuckerman,Action Comedy Crime,Verne Troyer,austin powers in goldmember,Robert Wagner
David Bowers,Charlize Theron,Action Animation Comedy Family Sci-Fi,Nicolas Cage,astro boy,Dee Bradley Baker
Steven Spielberg,Ariana Richards,Adventure Sci-Fi Thriller,Wayne Knight,jurassic park,Bob Peck
Lawrence Kasdan,Catherine O'Hara,Adventure Biography Crime Drama Western,Dennis Quaid,wyatt earp,Isabella Rossellini
Phillip Noyce,Dean Jones,Action Crime Drama Thriller,Harrison Ford,clear and present danger,Raymond Cruz
Daniel Lee,Peng Lin,Action Adventure Drama History,Si Won Choi,dragon blade,Sung-jun Yoo
Keenen Ivory Wayans,Brittany Daniel,Comedy Crime,Chazz Palminteri,littleman,John Witherspoon
Jonathan Mostow,Thomas Kretschmann,Action War,Matthew McConaughey,u-571,David Keith
Rob Reiner,Samantha Mathis,Comedy Drama Romance,Shawna Waldron,the american president,Wendie Malick
Marco Schnabel,Romany Malco,Comedy Romance Sport,Justin Timberlake,the love guru,Verne Troyer
Demian Lichtenstein,Bokeem Woodbine,Action Comedy Crime Thriller,Jon Lovitz,3000 miles to graceland,Ice-T
Quentin Tarantino,Jennifer Jason Leigh,Crime Drama Mystery Thriller Western,Craig Stark,the hateful eight,Zoë Bell
Josh Gordon,Amy Poehler,Comedy Sport,Will Ferrell,blades of glory,Jon Heder
Tim Hill,Elizabeth Perkins,Adventure Animation Comedy Family Fantasy,Gary Cole,hop,Chelsea Handler
Zack Snyder,Michael Fassbender,Action Drama Fantasy War,Gerard Butler,300,Vincent Regan
Jay Roach,Blythe Danner,Comedy Romance,Robert De Niro,meet the fockers,Teri Polo
David Frankel,Kathleen Turner,Comedy Drama Family,Eric Dane,marley & me,Haley Bennett
Frank Darabont,Jeffrey DeMunn,Crime Drama Fantasy Mystery,Tom Hanks,the green mile,Michael Jeter
Walt Becker,Tichina Arnold,Action Adventure Comedy,Jill Hennessy,wild hogs,Drew Sidora
Mark Dindal,Fred Willard,Adventure Animation Comedy Family Sci-Fi,Catherine O'Hara,chicken little,Amy Sedaris
David Fincher,Sela Ward,Crime Drama Mystery Thriller,Patrick Fugit,gone girl,Emily Ratajkowski
Doug Liman,Josh Hamilton,Action Mystery Thriller,Matt Damon,the bourne identity,Nicky Naudé
Martin Campbell,Joe Don Baker,Action Adventure Thriller,Izabella Scorupco,goldeneye,Tchéky Karyo
Simon West,Timothy Hutton,Drama Mystery Thriller,Daniel von Bargen,the general's daughter,Clarence Williams III
Peter Weir,Noah Emmerich,Comedy Drama Sci-Fi,Natascha McElhone,the truman show,Peter Krause
Brenda Chapman,Aria Noelle Curzon,Adventure Animation Biography Drama Family Fantasy Musical,Martin Short,the prince of egypt,Eden Riegel
Steve Carr,Lisa Edelstein,Comedy Family,Anjelica Huston,daddy day care,Jeff Garlin
Baltasar Kormákur,Patrick Fischler,Action Comedy Crime Drama Thriller,Denzel Washington,2 guns,Fred Ward
Lawrence Guterman,Elizabeth Perkins,Action Comedy Family Fantasy,Carol Ann Susi,cats & dogs,Miriam Margolyes
F. Gary Gray,Charlize Theron,Action Crime Thriller,Jason Statham,the italian job,Jimmy Shubert
Marc Lawrence,Alicia Witt,Comedy Romance,Dorian Missick,two weeks notice,Dana Ivey
Eric Darnell,Woody Allen,Adventure Animation Comedy Family,Sylvester Stallone,antz,Anne Bancroft
Peter Billingsley,Kristin Davis,Comedy,Jon Favreau,couples retreat,Tasha Smith
Tony Scott,Robert Duvall,Action Drama Sport,Tom Cruise,days of thunder,Randy Quaid
Adam Shankman,Tom Welling,Adventure Comedy Family,Taylor Lautner,cheaper by the dozen 2,Alyson Stoner
Wes Ball,Lili Taylor,Action Sci-Fi Thriller,Ki Hong Lee,the scorch trials,Rosa Salazar
Ryan Murphy,Julia Roberts,Drama Romance,James Franco,eat pray love,Billy Crudup
Brett Ratner,Don Cheadle,Comedy Drama Fantasy Romance,Nicolas Cage,the family man,Amber Valletta
Robert Schwentke,Morgan Freeman,Action Comedy Crime Thriller,Bruce Willis,red,Jaqueline Fleming
Oliver Stone,Dennis Quaid,Drama Sport,Al Pacino,any given sunday,LL Cool J
Robert Redford,Kristin Scott Thomas,Drama Romance Western,Scarlett Johansson,the horse whisperer,Jessalyn Gilsig
Michael Mann,Jada Pinkett Smith,Crime Drama Thriller,Tom Cruise,collateral,Debi Mazar
Chuck Russell,Roger Rees,Action Adventure Fantasy Thriller,Dwayne Johnson,the scorpion king,Bernard Hill
Jay Russell,Jay Hernandez,Action Drama Thriller,Billy Burke,ladder 49,Jacinda Barrett
