movie_title,recommend,
bee movie,"['inspector gadget', 'the crocodile hunter: collision course', 'minions', 'the tale of despereaux', 'winnie the pooh', 'the peanuts movie', 'hop', 'the pirates! band of misfits', ""the pirates who don't do anything: a veggietales movie"", 'despicable me 3', 'monsters university', ""mr. bean's holiday"", 'ice age: continental drift', 'space chimps', 'the rugrats movie', 'the nut job', 'wonder park', 'happy feet 2', 'the secret life of pets', 'valiant', 'zoom']",
kung fu panda 2,"['kung fu panda 3', 'shark tale', 'kung fu panda', 'the lego movie 2: the second part', 'by the sea', 'valiant', 'planet 51', 'the magic sword: quest for camelot', 'jonah: a veggietales movie', 'shrek forever after', 'sky high', 'the darkest minds', 'toy story', 'legend of kung fu rabbit', 'frozen ii', 'monsters vs. aliens', 'the wild thornberrys movie', 'maleficent', 'puss in boots', 'lost in space', 'i spy']",
the last airbender,"['mighty joe young', 'after earth', 'frozen', 'the smurfs 2', 'baahubali: the beginning', 'frozen ii', ""legend of the guardians: the owls of ga'hoole"", 'the adventures of sharkboy and lavagirl 3-d', 'stardust', 'eragon', 'teenage mutant ninja turtles iii', 'puss in boots', 'shrek 2', ""the sorcerer's apprentice"", 'atlantis: the lost empire', 'journey 2: the mysterious island', 'osmosis jones', 'zathura: a space adventure', 'journey to the center of the earth', 'krull', ""pete's dragon""]",
mission: impossible iii,"['mission: impossible ii', 'mission: impossible - rogue nation', 'red dragon', 'patch adams', 'mission: impossible - ghost protocol', 'the expendables 3', 'jack reacher', 'cold pursuit', 'twister', 'g.i. joe: the rise of cobra', 'you only live twice', 'sherlock holmes: a game of shadows', 'sherlock holmes', ""charlie's angels: full throttle"", ""on her majesty's secret service"", 'a perfect getaway', 'double take', 'v for vendetta', 'death sentence', 'the equalizer 2', 'the world is not enough']",
white house down,"['stonewall', 'air force one', 'olympus has fallen', 'absolute power', 'supercross', 'g.i. joe: retaliation', 'haywire', 'magic mike xxl', 'midway', 'elysium', 'london has fallen', 'side effects', 'green zone', 'born of war', 'anonymous', 'watchmen', 'shadow conspiracy', 'tomato red', '3 days to kill', 'courage under fire', 'enemy of the state']",
mars needs moms,"['monsters vs. aliens', 'race to witch mountain', 'chicken little', 'inspector gadget', 'independence daysaster', 'free birds', 'g-force', 'planet 51', 'escape from planet earth', 'jimmy neutron: boy genius', 'aliens in the attic', 'independence day: resurgence', 'the time machine', 'journey 2: the mysterious island', 'titan a.e.', 'zathura: a space adventure', 'men in black 3', 'the iron giant', 'my favorite martian', 'legend of kung fu rabbit', 'minions']",
flushed away,"['virgin territory', 'agent cody banks 2: destination london', 'cream', 'osmosis jones', 'movie 43', ""a dog's breakfast"", 'charlie and the chocolate factory', 'astro boy', 'inspector gadget', 'diary of a wimpy kid: rodrick rules', 'diary of a wimpy kid: the long haul', 'the three stooges', 'turbo', 'missing link', 'diary of a wimpy kid: dog days', 'flirting with disaster', 'captain underpants: the first epic movie', 'muppets from space', 'epic movie', 'lilo & stitch', 'the pirates! band of misfits']",
pan,"['thunder and the house of magic', 'return to never land', 'maleficent: mistress of evil', 'the neverending story', 'the nutcracker and the four realms', 'harry potter and the prisoner of azkaban', 'the spiderwick chronicles', 'hook', ""legends of oz: dorothy's return"", 'missing link', ""harry potter and the sorcerer's stone"", 'harry potter and the order of the phoenix', 'harry potter and the chamber of secrets', 'muppets most wanted', 'fantasia 2000', 'rise of the guardians', 'mary poppins', 'the wild thornberrys movie', 'ramona and beezus', 'tangled', 'the kid who would be king']",
mr. peabody & sherman,"['monsters vs. aliens', 'stuart little 2', 'spark: a space tail', 'lilo & stitch', 'g-force', 'planet 51', 'mars needs moms', 'chicken little', 'cars 2', 'robots', 'aliens in the attic', 'teenage mutant ninja turtles iii', 'the lego movie', 'spy kids 3-d: game over', ""the pirates who don't do anything: a veggietales movie"", 'meet dave', 'journey 2: the mysterious island', 'the boxtrolls', 'space chimps', 'the iron giant', 'men in black 3']",
troy,"['the mexican', 'kingdom of heaven', 'the three musketeers', ""pirates of the caribbean: dead man's chest"", 'alexander', 'by the sea', 'the legend of hercules', 'the lord of the rings: the return of the king', 'legends of the fall', 'the neverending story', 'teenage mutant ninja turtles: out of the shadows', 'fury', 'wrath of the titans', 'sinbad: legend of the seven seas', 'clash of the titans', 'pan', '300', ""pirates of the caribbean: at world's end"", 'world war z', 'the perfect storm', 'the tree of life']",
madagascar 3: europe's most wanted,"['madagascar', 'madagascar: escape 2 africa', 'penguins of madagascar', 'cadillac records', 'jimmy neutron: boy genius', 'the secret life of pets 2', 'antz', 'yogi bear', 'the nut job', 'welcome home roscoe jenkins', 'shark tale', 'the magic sword: quest for camelot', 'the secret life of pets', 'valiant', 'thunder and the house of magic', 'smurfs: the lost village', 'the dragon spell', 'shrek forever after', 'the smurfs 2', 'rugrats in paris: the movie', 'zambezia']",
die another day,"['the world is not enough', 'spectre', 'never say never again', 'tomorrow never dies', 'the edge', 'xxx: state of the union', 'skyfall', 'freeze frame', 'goldfinger', 'thunderball', 'spy kids: all the time in the world in 4d', ""charlie's angels"", 'agent cody banks', 'moonraker', 'the mask of zorro', 'punisher: war zone', 'tinker tailor soldier spy', ""on her majesty's secret service"", 'mission: impossible - rogue nation', 'casino royale', 'avp: alien vs. predator']",
ghostbusters,"['the specials', 'highlander: endgame', 'death race 2000', 'teenage mutant ninja turtles iii', 'journey 2: the mysterious island', 'zathura: a space adventure', 'the spy who dumped me', 'men in black 3', 'g-force', 'soldier', 'damsels in distress', 'battle for the planet of the apes', 'def-con 4', 'destiny', 'man of steel', 'deadpool', 'teenage mutant ninja turtles ii: the secret of the ooze', 'aqua teen hunger force colon movie film for theaters', 'mortal kombat', 'cat people', 'inspector gadget']",
armageddon,"['the island', 'transformers: the last knight', 'transformers: dark of the moon', 'transformers', 'the astronaut farmer', 'the saint', 'escape from l.a.', 'the core', 'megiddo: the omega code 2', 'star trek v: the final frontier', 'surrogates', 'transformers: revenge of the fallen', 'the chronicles of riddick', 'seeking a friend for the end of the world', 'deep impact', 'after earth', 'transformers: age of extinction', 'the expendables 2', 'clockstoppers', 'lifeforce', 'the martian']",
men in black ii,"['men in black', 'men in black 3', 'wild wild west', 'zoom', 'zathura: a space adventure', 'after earth', 'monsters vs. aliens', 'aliens in the attic', 'teenage mutant ninja turtles iii', 'journey 2: the mysterious island', 'inspector gadget', 'suicide squad', 'g-force', 'planet 51', 'megiddo: the omega code 2', 'super mario bros.', 'teenage mutant ninja turtles ii: the secret of the ooze', 'mars needs moms', 'independence day', 'chicken little', 'cloudy with a chance of meatballs 2']",
beowulf,"['dungeons & dragons: wrath of the dragon god', 'wonder woman', ""legend of the guardians: the owls of ga'hoole"", 'a christmas carol', 'thor: the dark world', 'thor', 'destroyer', 'the princess and the cobbler', 'aqua teen hunger force colon movie film for theaters', 'the polar express', 'return to never land', 'the bounty', ""a warrior's tail"", 'maleficent', 'how to train your dragon 2', 'the adventures of sharkboy and lavagirl 3-d', 'the omega code', 'alexander', 'mortal kombat: annihilation', 'star wars: episode v - the empire strikes back', 'puss in boots']",
kung fu panda 3,"['kung fu panda', 'kung fu panda 2', 'legend of kung fu rabbit', 'shark tale', 'by the sea', 'cars 2', 'despicable me 3', 'how to train your dragon 2', 'cars 3', 'smurfs: the lost village', 'the dragon spell', 'shrek', 'zambezia', 'the last dragon', 'the secret life of pets 2', 'shrek 2', 'megamind', 'cars', 'the croods', 'the lego movie 2: the second part', 'penguins of madagascar']",
mission: impossible - ghost protocol,"['mission: impossible - rogue nation', 'mission: impossible', 'the spy who loved me', 'diamonds are forever', 'the world is not enough', 's.w.a.t.', 'the living daylights', 'mission: impossible – fallout', 'spectre', 'escape plan: the extractors', 'true lies', 'transformers: age of extinction', 'incredibles 2', 'mission: impossible ii', 'from russia with love', 'the mummy', 'tomorrowland', 'the jackal', 'escape from l.a.', 'inception', 'the last castle']",
rise of the guardians,"['the guardians', 'guardians', 'the good dinosaur', 'inside out', 'the polar express', 'klaus', 'toy story 4', 'shrek forever after', 'the secret life of pets 2', 'arthur christmas', 'missing link', ""legend of the guardians: the owls of ga'hoole"", 'cloudy with a chance of meatballs 2', 'the lego movie', 'stuart little 2', 'hop', 'the pirates! band of misfits', 'flushed away', 'the boxtrolls', 'toy story 2', 'the nut job']",
fun with dick and jane,"['dick', 'lucky numbers', 'dom hemingway', 'the postman always rings twice', 'best in show', 'memoirs of an invisible man', 'welcome to collinwood', 'down terrace', 'playing with fire', 'safe men', 'oh hello: on broadway', 'blackkklansman', 'cellular', 'the guard', 'bicentennial man', 'for your consideration', 'the break-up', 'pain & gain', 'bad teacher', 'the ugly truth', 'hot pursuit']",
the last samurai,"['the patriot', 'top gun', 'tora! tora! tora!', 'glory', 'days of thunder', 'flyboys', 'waterloo', ""one man's hero"", 'flags of our fathers', 'saving private ryan', 'courage under fire', 'the longest day', ""all the queen's men"", 'valkyrie', 'born on the fourth of july', 'city of life and death', 'free state of jones', 'american sniper', 'saints and soldiers', 'dunkirk', 'the warlords']",
exodus: gods and kings,"['kings', 'vertical limit', 'quigley down under', 'robin hood', 'kingdom of heaven', 'the ten', 'noah', 'risen', 'samson', '55 days at peking', 'pompeii', 'the prince of egypt', 'rapa nui', 'stargate: the ark of truth', 'mowgli: legend of the jungle', 'adore', 'body of lies', 'equilibrium', 'the robe', 'raise the titanic', 'black rain']",
star trek,"['star trek into darkness', 'star trek iii: the search for spock', 'star trek iv: the voyage home', 'star trek: the motion picture', 'star trek v: the final frontier', 'wing commander', 'star trek vi: the undiscovered country', 'star trek ii: the wrath of khan', 'avengers: age of ultron', 'star trek beyond', 'atlantis: the lost empire', 'power rangers', 'guardians of the galaxy vol. 2', 'the avengers', 'oblivion', 'jupiter ascending', 'timecop', 'space battleship yamato', 'star wars: episode vi - return of the jedi', 'thor: ragnarok', 'avatar']",
spider-man,"['spider', 'spider-man 3', 'spider-man 2', 'oz the great and powerful', 'aquaman', 'flyboys', 'the shadow', 'maleficent', 'thor: the dark world', 'thor', 'guardians of the galaxy', 'dark phoenix', 'blade: trinity', 'justice league', 'guardians of the galaxy vol. 2', 'deuces wild', 'the specials', 'man of steel', 'the avengers', 'captain america: the first avenger', 'the wolverine']",
how to train your dragon 2,"['how to train your dragon', 'how to train your dragon: the hidden world', 'eragon', 'the dragon spell', 'the croods', 'sherlock gnomes', 'kung fu panda 3', 'the lego movie', 'puss in boots', 'despicable me 3', 'lara croft tomb raider: the cradle of life', 'lilo & stitch', 'alvin and the chipmunks: chipwrecked', 'osmosis jones', 'the boxtrolls', 'thunder and the house of magic', 'smurfs: the lost village', 'g-force', 'the magic sword: quest for camelot', 'shrek forever after', 'the smurfs 2']",
gods of egypt,"['wrath of the titans', 'the scorpion king', 'the mummy returns', 'how to train your dragon 2', 'jack the giant slayer', 'the mummy', 'clash of the titans', 'warriors of virtue', 'g.i. joe: retaliation', 'dracula 2000', 'lara croft tomb raider: the cradle of life', 'reign of fire', 'the legend of hercules', 'the crow', 'timeline', 'a.x.l.', 'the princess and the cobbler', 'bleach', 'underworld: rise of the lycans', 'the bounty hunter', 'moontrap: target earth']",
stealth,"['paycheck', 'star trek beyond', 'x-men: the last stand', 'the saint', 'captain america: the first avenger', 'the core', 'xxx', 'megiddo: the omega code 2', 'x-men: days of future past', 'the omega code', 'x-men origins: wolverine', 'monsters vs. aliens', 'the chronicles of riddick', 'congo', 'transformers: the last knight', 'reign of fire', 'jurassic park iii', 'battleship', 'allegiant', 'lost in space', 'timeline']",
watchmen,"['batman v superman: dawn of justice', 'justice league', 'man of steel', 'moon', 'doomsday', 'justice league dark', 'white house down', 'green lantern', 'elysium', 'teen titans: the judas contract', 'doom', 'teenage mutant ninja turtles: out of the shadows', 'escape plan', 'atlas shrugged ii: the strike', 'superman', 'soldier', 'atlas shrugged: who is john galt?', 'yesterday was a lie', ""where'd you go bernadette"", 'superman returns', 'the manchurian candidate']",
lethal weapon 4,"['lethal weapon 3', 'romeo must die', 'unleashed', '16 blocks', 'kiss of the dragon', 'cradle 2 the grave', 'hannibal rising', 'stone cold', 'war', 'ransom', 'cellular', 'breaking in', 'bon cop bad cop', 'the one', 'money talks', 'outbreak', 'assassins', 'dom hemingway', 'the running man', 'conspiracy theory', 'rush hour 3']",
hulk,"['superman returns', 'fantastic four', 'fantastic 4: rise of the silver surfer', 'the incredible hulk', 'doomsday', 'zoom', 'justice league dark', 'superman iii', 'green lantern', 'teen titans: the judas contract', 'teenage mutant ninja turtles', 'superman ii', 'batman v superman: dawn of justice', 'blade ii', 'avengers: age of ultron', 'iron man 3', 'guardians of the galaxy', 'species', 'captain america: civil war', 'captain america: the winter soldier', 'ant-man']",
g.i. joe: retaliation,"['joe', 'g.i. joe: the rise of cobra', 'jupiter ascending', 'the core', 'iron man 2', 'doom', 'race to witch mountain', 'journey 2: the mysterious island', 'resident evil: apocalypse', 'white house down', 'the saint', 'the scorpion king', 'the hunger games: catching fire', 'underworld: rise of the lycans', 'stealth', 'haywire', 'megiddo: the omega code 2', 'mad max: fury road', 'the omega code', 'iron man', 'the chronicles of riddick']",
sahara,"['monsters vs. aliens', 'the mask of zorro', 'the last castle', 'romeo must die', ""fool's gold"", 'the last witch hunter', 'inspector gadget', 'point break', 'legend of kung fu rabbit', 'serenity', 'reign of fire', 'cutthroat island', 'surfer dude', 'flight of the phoenix', 'the one', ""charlie's angels"", 'i spy', 'clockstoppers', 'star trek beyond', 'the rundown', 'agent cody banks']",
final fantasy: the spirits within,"['the island', 'stargate: the ark of truth', 'titan a.e.', 'avatar', 'escape from l.a.', 'megiddo: the omega code 2', 'terminator genisys', 'resident evil: afterlife', 'mad max: fury road', 'spy kids 2: island of lost dreams', 'monsters vs. aliens', 'race to witch mountain', '9', 'pokémon 3: the movie', 'after earth', 'edge of tomorrow', 'valerian and the city of a thousand planets', 'dawn of the planet of the apes', 'atlantis: the lost empire', 'zathura: a space adventure', 'city of ember']",
captain america: the first avenger,"['captain america: the winter soldier', 'captain america: civil war', 'ant-man', 'the avengers', 'guardians of the galaxy', 'guardians of the galaxy vol. 2', 'thor: ragnarok', 'avengers: age of ultron', 'iron man 3', 'iron man 2', 'thor: the dark world', 'thor', 'iron man', 'x-men origins: wolverine', 'the incredible hulk', 'justice league', 'stealth', 'deadpool', 'x-men: apocalypse', 'x-men', 'green lantern']",
the world is not enough,"['die another day', 'unlocked', 'never say never again', 'thunderball', 'the rock', 'moonraker', 'for your eyes only', ""on her majesty's secret service"", 'the saint', 'haywire', 'megiddo: the omega code 2', 'falcon rising', 'jurassic park iii', 'spectre', 'the art of war', 'transformers: the last knight', 'the spy who loved me', 'tomorrow never dies', 'the man with the golden gun', 'transformers', 'clockstoppers']",
master and commander: the far side of the world,"['arn: the knight templar', 'flyboys', '55 days at peking', 'red tails', 'operation chromite', 'the warlords', 'waterloo', 'three kingdoms: resurrection of the dragon', 'rapa nui', '13 hours', 'the count of monte cristo', 'a passage to india', 'the great raid', 'the legend of suriyothai', '12 strong', '300: rise of an empire', 'the horseman on the roof', 'the bridge on the river kwai', 'sands of iwo jima', 'risen', 'lone survivor']",
the twilight saga: breaking dawn - part 2,"['the twilight saga: new moon', 'the twilight saga: eclipse', 'twilight', 'the adventures of sharkboy and lavagirl 3-d', 'the eclipse', 'tall girl', 'beautiful creatures', 'what just happened', 'somewhere in time', 'the perfect wave', 'every day', 'snow white and the huntsman', 'harry potter and the order of the phoenix', 'harry potter and the goblet of fire', 'flyboys', 'water for elephants', 'remember me', 'get low', 'robin and marian', 'scrooged', 'the ice pirates']",
happy feet 2,"['happy feet', ""cats don't dance"", ""marilyn hotchkiss' ballroom dancing and charm school"", 'cats & dogs: the revenge of kitty galore', 'aladdin', 'winnie the pooh', 'bathing beauty', 'the emoji movie', 'the rugrats movie', 'the country bears', 'tangled', 'sinbad: legend of the seven seas', ""legends of oz: dorothy's return"", 'valiant', 'the adventures of elmo in grouchland', 'rio', 'annie', 'muppets most wanted', 'old dogs', 'the muppet movie', 'night at the museum: battle of the smithsonian']",
the incredible hulk,"['the avengers', 'captain america: the first avenger', 'zoom', 'avengers: age of ultron', 'iron man 3', 'guardians of the galaxy', 'captain america: civil war', 'captain america: the winter soldier', 'ant-man', 'guardians of the galaxy vol. 2', 'green lantern', 'iron man 2', 'thor: ragnarok', 'iron man', 'batman v superman: dawn of justice', 'lost in space', 'teenage mutant ninja turtles', 'destiny', 'jason x', 'justice league', 'superman returns']",
the bfg,"['the borrowers', 'alice through the looking glass', 'the little prince', 'hook', 'the golden compass', 'the adventurer: the curse of the midas box', 'alice in wonderland', 'where the wild things are', 'bridge of spies', 'the neverending story', ""pete's dragon"", 'smallfoot', 'charlie and the chocolate factory', 'the cat in the hat', 'the spiderwick chronicles', 'goosebumps 2: haunted halloween', 'jack the giant slayer', 'the chronicles of narnia: prince caspian', 'the jungle book', 'frozen', 'simon birch']",
the revenant,"['the edge', 'into the grizzly maze', 'the homesman', 'texas rangers', 'everest', 'wind river', 'shaft', 'child 44', 'the quick and the dead', 'layer cake', 'eden', 'in the heart of the sea', 'dances with wolves', 'the wind', 'shaft', 'the beach', 'the road', 'into the wild', 'the last house on the left', 'django unchained', 'i am wrath']",
turbo,"['cars 2', 'the croods', 'flushed away', 'rugrats in paris: the movie', 'racing stripes', 'cars', 'legend of kung fu rabbit', 'captain underpants: the first epic movie', 'penguins of madagascar', 'sahara', 'virgin territory', 'spark: a space tail', 'osmosis jones', 'herbie fully loaded', 'cars 3', 'halloween', 'the nut job', 'deadpool 2', 'valiant', 'thunder and the house of magic', 'fun size']",
rango,"['sherlock gnomes', 'the lone ranger', 'winnie the pooh', 'the spongebob squarepants movie', 'sahara', 'monsters vs. aliens', 'the mexican', 'ice age', 'finding nemo', 'the nut job', 'charlie and the chocolate factory', 'shark tale', 'valiant', 'thunder and the house of magic', 'smurfs: the lost village', 'the dragon spell', 'antz', 'rio', 'shrek forever after', 'the smurfs 2', 'rugrats in paris: the movie']",
penguins of madagascar,"['madagascar', ""madagascar 3: europe's most wanted"", 'penguins', 'madagascar: escape 2 africa', 'smurfs: the lost village', 'the secret life of pets 2', 'antz', 'legend of kung fu rabbit', 'yogi bear', 'sahara', 'cars 2', 'spark: a space tail', 'cars 3', 'the grinch', 'the nut job', 'the magic sword: quest for camelot', 'happy feet 2', 'the secret life of pets', 'valiant', 'thunder and the house of magic', 'the dragon spell']",
the bourne ultimatum,"['the bourne supremacy', 'the bourne identity', 'jason bourne', 'green zone', 'the gunman', 'domino', 'bad company', 'beverly hills cop iii', 'resident evil: retribution', 'sicario: day of the soldado', 'conspiracy theory', 'allegiant', 'bullet to the head', 'mission: impossible', 'jack reacher', 'sherlock holmes: a game of shadows', 'courage under fire', 'salt', 'mission: impossible - rogue nation', 'brick mansions', 'die hard 2']",
kung fu panda,"['kung fu panda 3', 'kung fu panda 2', 'legend of kung fu rabbit', 'shark tale', 'free birds', 'winnie the pooh', 'mars needs moms', 'sahara', 'spark: a space tail', 'happy feet 2', 'zambezia', 'alvin and the chipmunks: the road chip', 'by the sea', 'brave', 'the lego movie 2: the second part', 'sahara', 'penguins of madagascar', 'big hero 6', 'cars 2', 'monsters vs. aliens', 'maleficent']",
ant-man,"['ant-man and the wasp', 'captain america: the winter soldier', 'guardians of the galaxy vol. 2', 'captain america: the first avenger', 'guardians of the galaxy', 'captain america: civil war', 'the avengers', 'deadpool', 'the specials', 'thor: ragnarok', 'avengers: age of ultron', 'iron man 3', 'justice league', 'iron man 2', 'thor: the dark world', 'iron man', 'x-men origins: wolverine', 'home', 'journey 2: the mysterious island', 'the wolverine', 'x-men: apocalypse']",
the hunger games: catching fire,"['the hunger games: mockingjay - part 1', 'the hunger games: mockingjay - part 2', 'the hunger games', 'insurgent', 'allegiant', 'red sparrow', 'the 5th wave', 'the host', 'x-men: days of future past', 'g.i. joe: retaliation', ""cirque du freak: the vampire's assistant"", 'divergent', 'journey to the center of the earth', 'escape from l.a.', 'i am number four', 'the darkest minds', 'g.i. joe: the rise of cobra', 'x-men: apocalypse', 'megiddo: the omega code 2', 'mad max: fury road', 'the maze runner']",
home,"['spider-man: far from home', 'guardians of the galaxy vol. 2', 'thor: ragnarok', 'guardians of the galaxy', 'captain america: civil war', 'ant-man', 'deadpool', 'aliens in the attic', 'avengers: age of ultron', 'journey 2: the mysterious island', 'captain america: the winter soldier', 'g-force', 'planet 51', 'justice league', 'the avengers', 'the smurfs', 'aqua teen hunger force colon movie film for theaters', 'muppets from space', 'monsters vs. aliens', 'robots', 'teenage mutant ninja turtles iii']",
war of the worlds,"['the 5th wave', 'minority report', 'world war z', 'edge of tomorrow', 'planet of the apes', 'oblivion', 'the host', 'jurassic park', 'megiddo: the omega code 2', 'mad max: fury road', 'insurgent', '9', 'the chronicles of riddick', 'pulse', 'the hunger games', 'allegiant', 'clockstoppers', 'pacific rim', 'the hunger games: mockingjay - part 1', 'after earth', 'escape from l.a.']",
bad boys ii,"['bad boys', 'beverly hills cop iii', 'beverly hills cop ii', 'criminal', 'trespass against us', 'pain & gain', 'con air', 'stuber', 'action jackson', '2 guns', 'keanu', 'the bourne supremacy', 'colombiana', 'half past dead', 'haywire', 'gone in sixty seconds', 'bon cop bad cop', 'feast', 'free fire', 'bad company', 'beverly hills cop']",
puss in boots,"['the lego movie 2: the second part', 'shrek', 'chicken little', 'monsters vs. aliens', 'foodfight!', 'six days seven nights', 'the pirates! band of misfits', 'spy kids 3-d: game over', 'alvin and the chipmunks: chipwrecked', 'osmosis jones', 'sausage party', 'the lego batman movie', 'thunder and the house of magic', 'the dragon spell', 'g-force', 'shrek forever after', 'the smurfs 2', 'after the sunset', 'the secret life of pets 2', 'aqua teen hunger force colon movie film for theaters', 'frozen']",
salt,"['the bone collector', 'wanted', 'spy game', 'clear and present danger', 'safe house', 'gone in sixty seconds', 'the equalizer 2', 'the jackal', 'the gunman', 'criminal', 'patriot games', 'blackhat', 'sky captain and the world of tomorrow', 'the bourne supremacy', 'by the sea', 'mr. & mrs. smith', 'four brothers', 'ninja assassin', 'drive angry', 'the long kiss goodnight', 'lara croft: tomb raider']",
noah,"['the bounty', 'samson', 'the postman', 'exodus: gods and kings', 'kings', 'the edge', 'the three musketeers', 'red dragon', 'alexander', 'antarctica: a year on ice', 'thor: the dark world', 'thor', 'percy jackson & the olympians: the lightning thief', 'fury', 'the mask of zorro', 'red tails', ""the huntsman: winter's war"", 'risen', 'raise the titanic', 'the book of eli', 'arn: the knight templar']",
the adventures of tintin,"['national treasure', 'indiana jones and the kingdom of the crystal skull', 'eat locals', 'indiana jones and the temple of doom', 'raiders of the lost ark', 'indiana jones and the last crusade', 'without a paddle', 'the league of extraordinary gentlemen', 'lara croft tomb raider: the cradle of life', 'flight of the phoenix', 'underworld: evolution', 'city of ember', 'tomorrowland', 'g-force', 'the bfg', 'hook', 'howard the duck', 'the brothers grimm', 'teenage mutant ninja turtles ii: the secret of the ooze', 'the lost world: jurassic park', 'ironclad']",
harry potter and the prisoner of azkaban,"['harry potter and the half-blood prince', 'harry potter and the chamber of secrets', 'harry potter and the goblet of fire', ""harry potter and the sorcerer's stone"", 'harry potter and the order of the phoenix', 'harry potter and the deathly hallows: part i', 'harry potter and the deathly hallows: part ii', 'red riding hood', 'pan', 'stone', 'nanny mcphee returns', 'eragon', 'the neverending story', 'young sherlock holmes', 'oz the great and powerful', 'lost in space', 'hop', 'goosebumps', 'monsters university', 'the haunted mansion', 'the magic sword: quest for camelot']",
australia,"['jack the giant slayer', 'arn: the knight templar', ""all the queen's men"", 'sands of iwo jima', 'fateless', 'the great gatsby', 'flyboys', 'romeo + juliet', 'the best years of our lives', 'the aeronauts', 'cold mountain', 'flags of our fathers', 'the last of the mohicans', 'aimee & jaguar', 'their finest', 'the man from snowy river', 'fantastic beasts: the crimes of grindelwald', 'beyond borders', 'red tails', 'the horseman on the roof', 'the railway man']",
after earth,"['allegiant', 'the core', 'megiddo: the omega code 2', 'mad max: fury road', 'men in black 3', 'suicide squad', 'terminator genisys', 'oblivion', 'independence day', 'wild wild west', 'transformers: revenge of the fallen', 'transformers: dark of the moon', 'i am legend', 'the chronicles of riddick', 'i robot', 'beneath the planet of the apes', 'titan a.e.', 'the 5th wave', ""the legend of hell's gate: an american conspiracy"", 'moontrap: target earth', 'men in black ii']",
dinosaur,"['journey to the center of the earth', 'ice age', 'the wild thornberrys movie', 'ice age: dawn of the dinosaurs', 'the secret life of pets 2', ""madagascar 3: europe's most wanted"", 'penguins of madagascar', 'yogi bear', 'walking with dinosaurs 3d', 'madagascar', 'the land before time', 'ice age: continental drift', 'the magic sword: quest for camelot', 'snow queen', 'antz', 'early man', 'the nut job', 'the secret life of pets', ""legends of oz: dorothy's return"", 'valiant', 'thunder and the house of magic']",
harry potter and the deathly hallows: part ii,"['harry potter and the deathly hallows: part i', 'harry potter and the half-blood prince', 'harry potter and the goblet of fire', 'harry potter and the chamber of secrets', 'harry potter and the prisoner of azkaban', 'dragonslayer', ""harry potter and the sorcerer's stone"", 'warcraft', 'oz the great and powerful', 'seventh son', 'conan the destroyer', 'destroyer', 'stone', 'shazam!', 'snow white and the huntsman', 'wild target', 'doogal', ""the sorcerer's apprentice"", 'eragon', 'teenage mutant ninja turtles iii', 'in the name of the king: a dungeon siege tale']",
night at the museum: secret of the tomb,"['night at the museum: battle of the smithsonian', 'night at the museum', 'the adventures of elmo in grouchland', 'hook', 'the crocodile hunter: collision course', 'percy jackson & the olympians: the lightning thief', 'the borrowers', 'big fat liar', 'the princess and the cobbler', 'aladdin', 'happy feet 2', 'the secret life of pets', 'valiant', 'thunder and the house of magic', 'thomas and the magic railroad', 'rufus 2', 'the dragon spell', 'minions', 'ella enchanted', 'shrek forever after', 'the smurfs 2']",
megamind,"['mars needs moms', 'monsters vs. aliens', 'land of the lost', 'superhero movie', 'journey 2: the mysterious island', 'suicide squad', 'g-force', 'astro boy', 'legend of kung fu rabbit', 'minions', 'deadpool', 'men in black ii', 'chicken little', 'cloudy with a chance of meatballs 2', 'cloudy with a chance of meatballs', 'kung fu panda 3', 'the lego movie', 'spark: a space tail', 'the lego batman movie', 'happy feet 2', 'zoom']",
harry potter and the sorcerer's stone,"['stone', 'harry potter and the chamber of secrets', 'harry potter and the order of the phoenix', 'harry potter and the half-blood prince', 'harry potter and the prisoner of azkaban', 'harry potter and the goblet of fire', 'oz the great and powerful', 'percy jackson & the olympians: the lightning thief', 'the chronicles of narnia: the voyage of the dawn treader', 'eragon', 'seventh son', 'the chronicles of narnia: the lion the witch and the wardrobe', 'harry potter and the deathly hallows: part i', 'the chronicles of narnia: prince caspian', 'harry potter and the deathly hallows: part ii', 'the golden compass', 'hocus pocus', 'the wizard of oz', 'the neverending story', 'percy jackson: sea of monsters', 'bridge to terabithia']",
r.i.p.d.,"['pokémon detective pikachu', 'the croods', 'the change-up', 'scrooged', 'two girls and a guy', 'the dilemma', 'ghostbusters', 'red', 'the big wedding', '15 minutes', 'seventh son', 'sherlock holmes', 'jack reacher', 'we bought a zoo', 'the medallion', 'alex & emma', 'deadpool 2', 'teen wolf too', 'deadpool', 'stranger than fiction', 'motherhood']",
pirates of the caribbean: the curse of the black pearl,"[""pirates of the caribbean: at world's end"", ""pirates of the caribbean: dead man's chest"", 'pirates of the caribbean: on stranger tides', 'pirates of the caribbean: dead men tell no tales', 'the lone ranger', 'alice through the looking glass', 'dr. no', 'the three musketeers', 'cats & dogs: the revenge of kitty galore', 'kingdom of heaven', 'the libertine', 'rango', 'cutthroat island', 'sherlock gnomes', 'alice in wonderland', 'the man with the golden gun', 'thor: the dark world', 'thor', 'the lord of the rings: the return of the king', 'x-men: the last stand', 'charlie and the chocolate factory']",
