movie_title,recommend
daylight,"['the expendables', 'die hard with a vengeance', 'stealth', 'xxx', 'the specialist', 'flight of the phoenix', 'get carter', 'Escape Plan: The Extractors', 'the expendables 2', 'the expendables 3', 'the road', 'cliffhanger', 'raise the titanic', 'alex cross', 'cop land', 'Rambo: Last Blood', 'the edge', 'apollo 13', 'tango & cash', 'the mummy: tomb of the dragon emperor', 'the book of eli']"
walking with dinosaurs 3d,"['the croods', 'the land before time', 'ice age: dawn of the dinosaurs', 'shark tale', 'snow queen', 'the smurfs', 'antz', 'the jungle book 2', 'the nut job', 'mulan', ""legends of oz: dorothy's return"", 'valiant', 'thunder and the house of magic', 'Smurfs: The Lost Village', 'The Dragon Spell', 'the incredibles', 'the good dinosaur', 'rango', 'shrek forever after', 'the smurfs 2', ""dragon nest: warriors' dawn""]"
battlefield earth,"['the 5th wave', 'the saint', 'the running man', 'megiddo: the omega code 2', 'the host', 'terminator salvation', ""logan's run"", 'after earth', 'transformers', 'allegiant', 'independence day: resurgence', 'memoirs of an invisible man', 'battle for the planet of the apes', 'def-con 4', 'the 6th day', 'escape from l.a.', 'mutant world', 'resident evil: afterlife', 'stealth', 'mad max', 'mad max: fury road']"
looney tunes: back in action,"['escape from planet earth', 'the nut job', 'aliens in the attic', 'thunder and the house of magic', 'journey to the center of the earth', 'space jam', 'g-force', 'small soldiers', 'cloudy with a chance of meatballs 2', 'the spongebob movie: sponge out of water', 'muppets from space', 'spy kids 2: island of lost dreams', 'monsters vs. aliens', 'robots', 'spy kids: all the time in the world in 4d', 'teenage mutant ninja turtles iii', 'arthur and the invisibles', 'hop', 'Spark: A Space Tail', 'lilo & stitch', 'atlantis: the lost empire']"
nine,"['escobar: paradise lost', 'mother and child', 'the last five years', 'Tully', 'the rugrats movie', 'the switch', 'stand by me', 'heli', 'where the heart is', 'fireproof', 'the magic flute', 'i think i love my wife', ""alexander's ragtime band"", 'into the woods', 'the princess diaries 2: royal engagement', 'darling lili', 'Juliet, Naked', 'fiddler on the roof', 'the american president', 'burlesque', 'divine secrets of the ya-ya sisterhood']"
timeline,"['Moontrap: Target Earth', 'stealth', 'highlander: endgame', 'teenage mutant ninja turtles iii', 'Transformers: The Last Knight', 'reign of fire', 'transformers', 'lost in space', 'gamer', 'after earth', 'men in black 3', 'the running man', 'superman', 'independence day: resurgence', 'the time machine', 'soldier', 'zoom', 'battle for the planet of the apes', 'def-con 4', 'destiny', 'terminator genisys']"
the postman,"['zoom', 'megiddo: the omega code 2', 'space battleship yamato', 'monsters vs. aliens', 'star wars: episode v - the empire strikes back', 'meteor', 'transformers', 'agent cody banks 2: destination london', 'stargate: the ark of truth', 'godzilla 2000', 'star trek beyond', 'noah', 'after earth', 'moon', 'Moontrap: Target Earth', 'captain america: civil war', 'captain america: the winter soldier', 'tomorrowland', 'Resident Evil: Vendetta', 'independence day: resurgence', 'the time machine']"
babe: pig in the city,"['babe', 'happy feet', 'the rugrats movie', 'thomas and the magic railroad', 'rugrats in paris: the movie', 'racing stripes', 'doogal', 'a monster in paris', ""A Dog's Purpose"", 'the wild thornberrys movie', 'ramona and beezus', 'lilo & stitch', ""charlotte's web"", 'The Cleanse', 'puss in boots', 'hop', ""cats don't dance"", 'confessions of a teenage drama queen', 'cats & dogs', 'scooby-doo 2: monsters unleashed', 'shrek']"
the last witch hunter,"['destiny', 'xxx', 'sahara', 'highlander', 'the chronicles of riddick', 'seventh son', 'The Fate of the Furious', 'guardians of the galaxy', 'warlock', 'Fantastic Beasts: The Crimes of Grindelwald', 'the princess and the cobbler', 'xXx: Return of Xander Cage', ""the huntsman: winter's war"", 'lockout', 'viy', 'the shadow', 'hansel & gretel: witch hunters', 'the scorpion king', 'baahubali: the beginning', 'warriors of virtue', 'dungeons & dragons: wrath of the dragon god']"
red planet,"['chappie', 'elysium', 'surrogates', 'lost in space', 'the last days on mars', 'automata', 'mad max: fury road', 'capricorn one', 'Transformers: The Last Knight', 'i, robot', 'transformers', ""smilla's sense of snow"", 'beneath the planet of the apes', 'minority report', 'steel', 'the 6th day', 'astro boy', 'jason x', 'fortress', 'batman: the dark knight returns, part 2', 'the time machine']"
arthur and the invisibles,"['looney tunes: back in action', ""dragon nest: warriors' dawn"", 'the spongebob movie: sponge out of water', 'stuart little 2', 'hop', 'alvin and the chipmunks: chipwrecked', 'Christopher Robin', ""legends of oz: dorothy's return"", 'thunder and the house of magic', 'The Dragon Spell', 'the chronicles of narnia: prince caspian', 'the smurfs', 'alvin and the chipmunks: the road chip', 'shrek forever after', 'the smurfs 2', 'return to never land', 'the croods', 'the lego movie', 'doogal', 'Hotel Transylvania 3: Summer Vacation', 'The Lego Movie 2: The Second Part']"
oceans,"[""Ocean's 8"", 'el crimen del padre amaro', 'the names of love', 'American Animals', 'the widow of saint-pierre', 'enemy at the gates', 'two brothers', 'margaret', 'The Sisters Brothers', 'After the Wedding', 'once in a lifetime: the extraordinary story of the new york cosmos', 'lisa picard is famous', 'kevin hart: laugh at my pain', 'inside man', 'seven years in tibet', 'triple 9', 'changing lanes', 'cradle will rock', 'the last sin eater', 'who killed the electric car?', 'food chains']"
a sound of thunder,"['timecop', 'x-men: days of future past', 'firestarter', 'the chronicles of riddick', 'capricorn one', 'lost in space', 'lifeforce', 'world war z', 'zoom', 'destiny', 'jason x', 'blade: trinity', 'the saint', 'inspector gadget', 'rise of the planet of the apes', 'star trek: generations', 'the darkest hour', 'the lovers', 'stealth', 'the core', 'megiddo: the omega code 2']"
pompeii,"['tycoon', 'the three musketeers', 'the bounty', 'flyboys', '55 days at peking', 'rapa nui', 'solomon and sheba', 'ben-hur', 'exodus: gods and kings', 'Kings', 'soldier', 'arn: the knight templar', 'the robe', '2012', 'shanghai surprise', 'kingdom of heaven', '16 blocks', 'the warlords', 'quigley down under', 'the legend of tarzan', 'return to the blue lagoon']"
top cat begins,"['x-men 2', 'the nutcracker in 3d', 'creepshow', 'grown ups 2', 'killers', 'dragon blade', 'xi you ji zhi: sun wukong san da baigu jing', 'the internship', 'dragonheart', 'walking tall', 'curious george', 'marmaduke', 'man of the house', 'pirate radio', 'the tooth fairy', 'fat albert', 'life or something like it', 'delgo', 'nomad: the warrior', 'the last shot', 'the grandmaster']"
a beautiful mind,"['edtv', 'ramanujan', 'cinderella man', 'ordinary people', 'wall street: money never sleeps', 'flash of genius', 'the aviator', 'rush', 'frost/nixon', 'the imitation game', 'winnie mandela', 'the big short', 'funny people', 'jersey boys', 'glory road', 'the greatest story ever told', 'kill the messenger', 'the perfect wave', 'the mirror has two faces', 'ip man 3', 'j. edgar']"
the lion king,"['The Lion King', 'stuart little 2', ""legends of oz: dorothy's return"", 'anastasia', 'aladdin', 'arthur and the invisibles', 'the prince of egypt', 'titan a.e.', 'the rugrats movie', 'tangled', 'pocahontas', 'sinbad: legend of the seven seas', 'the magic sword: quest for camelot', 'jonah: a veggietales movie', 'happy feet 2', 'alvin and the chipmunks: the road chip', 'open season', 'the tale of despereaux', 'the jungle book 2', 'madagascar: escape 2 africa', 'enchanted']"
journey 2: the mysterious island,"['zathura: a space adventure', 'cats & dogs: the revenge of kitty galore', 'race to witch mountain', 'journey to the center of the earth', 'g-force', 'planet 51', 'muppets from space', 'monsters vs. aliens', 'aliens in the attic', 'teenage mutant ninja turtles iii', 'spy kids 3-d: game over', 'inspector gadget', 'men in black 3', 'ant-man', 'mars needs moms', 'the adventures of sharkboy and lavagirl 3-d', 'home', 'land of the lost', 'doom', 'spy kids: all the time in the world in 4d', 'teenage mutant ninja turtles: out of the shadows']"
cloudy with a chance of meatballs 2,"['cloudy with a chance of meatballs', 'robots', 'men in black 3', 'g-force', 'looney tunes: back in action', 'shrek forever after', 'muppets from space', 'monsters vs. aliens', 'aliens in the attic', 'foodfight!', 'teenage mutant ninja turtles iii', 'Mamaboy', 'lilo & stitch', 'flubber', ""recess: school's out"", 'Spark: A Space Tail', 'atlantis: the lost empire', 'journey 2: the mysterious island', 'zathura: a space adventure', 'space chimps', 'The Lego Batman Movie']"
red dragon,"['the silence of the lambs', 'untraceable', 'hannibal rising', 'a most wanted man', 'owning mahowny', 'cold mountain', 'flawless', '88 minutes', 'the talented mr. ripley', 'sea of love', 'brigham city', 'blood work', 'funny games', 'rush hour 3', 'rush hour 2', 'suspect zero', 'My Son', 'child 44', 'zodiac', 'secret in their eyes', 'frailty']"
hidalgo,"['texas rangers', 'Lean on Pete', 'shanghai noon', 'captain america: the first avenger', 'appaloosa', ""the legend of hell's gate: an american conspiracy"", 'the lone ranger', 'zoom', 'the legend of the lone ranger', 'arn: the knight templar', 'destiny', 'benji', 'the incredible hulk', 'american outlaws', 'master and commander: the far side of the world', 'jurassic park iii', 'far from men', 'stealth', 'quigley down under', 'the prophecy', 'the man from snowy river']"
jack and jill,"['happy gilmore', 'grown ups', 'just go with it', ""you don't mess with the zohan"", 'the benchwarmers', 'Sandy Wexler', 'blended', 'big daddy', 'saving silverman', 'danny collins', 'aliens in the attic', 'the ridiculous 6', 'step brothers', 'the ladies man', 'Action Point', 'bedtime stories', ""that's my boy"", 'yours, mine and ours', 'funny people', 'our idiot brother', 'any given sunday']"
2 fast 2 furious,"['the fast and the furious', 'furious 7', 'paparazzi', 'fast five', 'takers', 'into the blue', 'the fast and the furious: tokyo drift', 'a good day to die hard', 'the death and life of bobby z', 'rush hour 2', 'getaway', 'see spot run', 'baby boy', 'need for speed', 'running scared', 'brick mansions', 'death race', 'four brothers', 'boyz n the hood', 'tango & cash', 'safe']"
the little prince,"['bridge to terabithia', 'the boxtrolls', 'Smallfoot', 'the bfg', 'ernest & celestine', 'Sherlock Gnomes', 'where the wild things are', 'the neverending story', 'the adventures of pinocchio', 'Peter Rabbit', 'In Dubious Battle', 'oz the great and powerful', 'the borrowers', 'tron: legacy', 'sausage party', 'the brave little toaster', 'The Nutcracker and the Four Realms', 'wall·e', 'bolt', 'g-force', 'the spiderwick chronicles']"
the invasion,"['the 5th wave', 'independence day: resurgence', 'invaders from mars', 'flatliners', 'signs', 'apollo 18', 'the stepford wives', 'impostor', 'dreamcatcher', 'super 8', 'paul', 'riddick', 'pulse', 'quarantine', 'species', 'the x files: i want to believe', 'lifeforce', 'an ideal husband', 'the thing', 'escape plan', 'the island of dr. moreau']"
the adventures of rocky & bullwinkle,"['shark tale', 'the croods', 'the spongebob movie: sponge out of water', 'hop', 'alvin and the chipmunks: chipwrecked', 'thunder and the house of magic', 'The Dragon Spell', 'looney tunes: back in action', 'Toy Story 4', 'shrek forever after', 'the smurfs 2', 'the smurfs', 'alvin and the chipmunks: the road chip', 'cop land', 'the book of life', 'winnie the pooh', 'doogal', 'The Lego Movie 2: The Second Part', 'Frozen II', 'yogi bear', 'the spongebob squarepants movie']"
the secret life of pets,"['The Secret Life of Pets 2', 'the muse', 'minions', 'Despicable Me 3', 'The Grinch', 'despicable me 2', 'The Boss Baby', 'Smurfs: The Lost Village', 'the crocodile hunter: collision course', ""madagascar 3: europe's most wanted"", 'the croods', 'home on the range', 'night at the museum: battle of the smithsonian', 'penguins of madagascar', 'night at the museum: secret of the tomb', 'the peanuts movie', 'yogi bear', 'barnyard', 'Sherlock Gnomes', 'madagascar', 'monsters university']"
the league of extraordinary gentlemen,"['underworld: evolution', 'Justice League Dark', 'man of steel', 'green lantern', 'blade: trinity', 'Eat Locals', 'x-men origins: wolverine', 'deep rising', 'doomsday', 'Justice League', 'blade ii', 'superman returns', 'deadpool', 'Thor: Ragnarok', 'batman v superman: dawn of justice', 'the amazing spider-man 2', 'teenage mutant ninja turtles: out of the shadows', 'superman ii', 'avengers: age of ultron', 'iron man 3', 'guardians of the galaxy']"
despicable me 2,"['despicable me', 'minions', 'Despicable Me 3', 'the incredible burt wonderstone', 'the secret life of pets', 'the crocodile hunter: collision course', 'g-force', 'night at the museum: battle of the smithsonian', 'the peanuts movie', 'barnyard', 'monsters vs. aliens', 'hot tub time machine 2', 'seeking a friend for the end of the world', 'evan almighty', ""mr. bean's holiday"", 'our idiot brother', 'the curse of the were-rabbit', 'astro boy', 'planet 51', 'dinner for schmucks', 'spy kids']"
independence day,"['independence day: resurgence', 'independence daysaster', 'after earth', 'men in black 3', 'serenity', 'predator 2', 'stargate: the ark of truth', 'star trek into darkness', 'the 5th wave', 'Beyond Skyline', 'suicide squad', 'howard the duck', 'men in black ii', '2012', 'mars needs moms', 'the watch', 'wild wild west', 'the lovers', 'megiddo: the omega code 2', 'highlander: endgame', 'race to witch mountain']"
the lost world: jurassic park,"['jurassic park', 'jurassic park iii', 'jurassic world', 'spaced invaders', 'stealth', 'paul', 'timeline', 'journey to the center of the earth', 'after earth', 'Moontrap: Target Earth', 'war of the worlds', 'independence day: resurgence', 'the time machine', 'soldier', 'zoom', 'battle for the planet of the apes', 'destiny', 'battlefield earth', 'star wars: episode iii - revenge of the sith', 'underworld: rise of the lycans', 'the saint']"
madagascar,"['madagascar: escape 2 africa', ""madagascar 3: europe's most wanted"", 'penguins of madagascar', 'The Secret Life of Pets 2', 'the secret life of pets', 'antz', 'Klaus', 'yogi bear', 'stuart little 2', 'khumba', 'The Angry Birds Movie 2', 'princess mononoke', 'Penguins', 'george of the jungle', 'the nut job', 'welcome home, roscoe jenkins', 'the magic sword: quest for camelot', 'Toy Story 4', 'happy feet 2', 'valiant', 'thunder and the house of magic']"
children of men,"['elysium', 'code 46', 'gravity', 'chappie', 'looper', 'The Discovery', 'mad max: fury road', 'the book of eli', 'surrogates', 'the divide', 'pandorum', 'never let me go', 'sleep dealer', 'monsters', 'the 6th day', 'blade runner', 'automata', 'fortress', 'batman: the dark knight returns, part 2', 'rise of the planet of the apes', 'equilibrium']"
x-men,"['x-men: apocalypse', 'x-men: days of future past', 'x-men: the last stand', 'the wolverine', 'x-men origins: wolverine', 'Justice League', 'Logan', 'superman returns', 'x-men: first class', 'man of steel', 'the avengers', 'green lantern', 'doom', 'batman v superman: dawn of justice', 'avengers: age of ultron', 'iron man 3', 'guardians of the galaxy', 'Dark Phoenix', 'captain america: civil war', 'captain america: the winter soldier', 'ant-man']"
wanted,"['mr. & mrs. smith', 'now you see me 2', 'unleashed', 'by the sea', 'salt', 'ninja assassin', 'lara croft: tomb raider', 'run all night', 'the tourist', ""the devil's own"", 'red', 'killer elite', 'mercury rising', 'Pickings', 'getaway', 'the gunman', 'sky captain and the world of tomorrow', 'gone in sixty seconds', 'now you see me', 'the bone collector', 'olympus has fallen']"
the rock,"['haywire', 'kiss of death', 'transformers', 'megiddo: the omega code 2', 'falcon rising', 'Unlocked', 'the art of war', 'Transformers: The Last Knight', 'clockstoppers', 'the jackal', 'the saint', 'jade', 'half past dead', 'the island', 'kill bill: vol. 2', 'the world is not enough', 'stolen', 'pain & gain', 'below zero', '13 hours', 'the great train robbery']"
ice age: the meltdown,"['ice age: dawn of the dinosaurs', 'ice age', 'puss in boots', 'osmosis jones', 'thunder and the house of magic', 'The Dragon Spell', 'g-force', 'rio 2', 'small soldiers', 'shrek forever after', 'the smurfs 2', 'rio', 'the croods', 'free birds', 'doogal', 'legend of kung fu rabbit', 'The Lego Movie 2: The Second Part', ""legend of the guardians: the owls of ga'hoole"", 'the spongebob movie: sponge out of water', 'the spongebob squarepants movie', 'Sherlock Gnomes']"
50 first dates,"['the longest yard', 'the waterboy', 'the curse of the jade scorpion', 'mr. deeds', 'Second Act', 'pixels', 'nutty professor ii: the klumps', 'punch-drunk love', 'the bounty hunter', 'the truman show', 'town & country', 'naked gun 33 1/3: the final insult', 'my fellow americans', 'whipped', 'bedtime stories', 'blended', 'grudge match', 'laws of attraction', 'serendipity', 'the good dinosaur', 'hollywood ending']"
hairspray,"['high school musical 2', 'sweet charity', 'high school musical 3: senior year', 'the lizzie mcguire movie', 'high school musical', 'fiddler on the roof', 'rock of ages', 'coyote ugly', 'on the line', 'bedtime stories', 'the good night', 'men with brooms', 'bandslam', 'footloose', 'black nativity', 'confessions of a teenage drama queen', 'punch-drunk love', 'the family stone', ""madea's family reunion"", 'the pacifier', 'show boat']"
exorcist: the beginning,"['an american haunting', 'mindhunters', 'exorcist ii: the heretic', 'The Nun', 'what lies beneath', 'the conjuring', 'the rite', 'exeter', 'the conjuring 2', 'something wicked', 'the woman in black', 'the haunting in connecticut 2: ghosts of georgia', 'insidious', ""Aaron's Blood"", 'stir of echoes', ""don't be afraid of the dark"", 'prison', 'the call of cthulhu', 'deliver us from evil', 'the grudge', 'devil']"
inspector gadget,"['agent cody banks 2: destination london', 'mars needs moms', 'muppets from space', 'monsters vs. aliens', 'spy kids: all the time in the world in 4d', 'teenage mutant ninja turtles iii', 'spy kids 3-d: game over', 'journey 2: the mysterious island', 'zathura: a space adventure', 'zoom', 'men in black 3', 'suicide squad', 'g-force', 'astro boy', 'thunderbirds', 'small soldiers', 'the stepford wives', 'spy kids', 'teenage mutant ninja turtles ii: the secret of the ooze', 'spy kids 2: island of lost dreams', 'the ice pirates']"
now you see me,"['kiss the girls', 'secret in their eyes', 'unleashed', 'now you see me 2', 'conspiracy theory', 'the interpreter', 'wanted', 'inside man', 'se7en', 'lucky number slevin', 'transporter 2', 'jack reacher', 'extreme measures', 'sea of love', 'kill the messenger', 'shooter', 'chain reaction', 'the watcher', 'murder by numbers', 'changeling', 'the negotiator']"
grown ups,"['big daddy', 'jack and jill', 'happy gilmore', 'just go with it', ""you don't mess with the zohan"", 'the incredible burt wonderstone', 'trees lounge', 'mr. deeds', ""charlotte's web"", 'hotel transylvania 2', 'the longest yard', 'hotel transylvania', 'the ridiculous 6', 'bedtime stories', ""that's my boy"", 'saint john of las vegas', 'ed and his dead mother', 'How to Be a Latin Lover', 'the secret life of pets', 'funny people', 'bringing down the house']"
the terminal,"['Terminal', 'bridge of spies', 'larry crowne', 'that thing you do!', 'how stella got her groove back', 'catch me if you can', 'Toy Story 4', ""you've got mail"", 'the station agent', 'forrest gump', 'the intern', 'splash', 'a league of their own', 'saving private ryan', 'big', '3 men and a baby', 'A Beautiful Day in the Neighborhood', 'saving mr. banks', 'when harry met sally...', 'frances ha', 'house of d']"
hotel for dogs,"['did you hear about the morgans?', 'diary of a wimpy kid', 'marley & me', 'bucky larson: born to be a star', '102 dalmatians', 'the spy next door', 'clerks ii', 'toy story 3', ""a bug's life"", 'cop out', 'the master of disguise', 'walking and talking', 'the adventures of elmo in grouchland', 'cats & dogs: the revenge of kitty galore', 'after the sunset', 'casino jack', 'glee: the 3d concert movie', 'The Secret Life of Pets 2', 'free birds', 'the big year', 'horrible bosses']"
vertical limit,"['exodus: gods and kings', 'quigley down under', 'the hunt for red october', 'shadow conspiracy', 'lovely, still', 'the spanish prisoner', 'raise the titanic', 'the mask of zorro', 'courage under fire', 'casino royale', 'El Camino: A Breaking Bad Movie', 'the secret life of walter mitty', 'robin hood', 'the core', '9', '55 days at peking', 'everest', 'goldeneye', 'absolute power', 'green lantern', 'domino']"
charlie wilson's war,"['patch adams', 'bridge of spies', 'saving mr. banks', 'next stop wonderland', 'synecdoche, new york', 'cold mountain', 'flawless', 'larry crowne', 'that thing you do!', 'mr. turner', 'moneyball', ""you've got mail"", 'man on the moon', 'argo', 'ip man 3', 'happiness', 'red dragon', 'forrest gump', 'topsy-turvy', 'primary colors', 'the ides of march']"
shark tale,"['kung fu panda 2', 'kung fu panda 3', 'by the sea', 'the road to el dorado', 'the adventures of rocky & bullwinkle', 'mean streets', ""madagascar 3: europe's most wanted"", 'the croods', 'winnie the pooh', 'yogi bear', 'a monster in paris', 'the intern', 'the wild thornberrys movie', 'new york, new york', 'maleficent', 'kung fu panda', 'space chimps', 'jimmy neutron: boy genius', 'the nut job', 'cape fear', 'sinbad: legend of the seven seas']"
dreamgirls,"['from justin to kelly', 'black nativity', 'control', 'the doors', 'school daze', 'you got served', 'burlesque', 'de-lovely', 'woman thou art loosed', 'selena', 'battle of the year', 'the secret life of bees', 'beyond the sea', 'high school musical 2', 'the greatest', ""get rich or die tryin'"", 'high school musical 3: senior year', 'bang bang baby', 'duets', ""mo' better blues"", 'i married a strange person!']"
be cool,"['The Fate of the Furious', 'torque', 'pain & gain', 'central intelligence', 'the other guys', 'planet 51', 'girl 6', 'baggage claim', 'we own the night', 'connie and carla', 'The Laundromat', 'straight outta compton', 'friday', 'the women', 'law abiding citizen', 'a man apart', 'mrs henderson presents', 'a night at the roxbury', ""Ocean's 8"", 'the tuxedo', 'the game plan']"
munich,"['The 15:17 to Paris', 'Beirut', '7 Days in Entebbe', 'the blue room', 'bridge of spies', 'adam resurrected', 'united 93', 'Operation Finale', 'adulterers', 'zero dark thirty', 'the baader meinhof complex', 'ben-hur', 'amistad', 'world trade center', 'collateral damage', 'lincoln', 'rendition', 'The Red Sea Diving Resort', 'blood ties', 'The Operative', 'Gotti']"
tears of the sun,"['paparazzi', ""hart's war"", 'a good day to die hard', 'courage under fire', '16 blocks', 'airlift', 'Acts of Violence', 'Dunkirk', 'texas rangers', 'hostage', 'mercury rising', 'miracle at st. anna', 'the siege', 'the cold light of day', 'light from the darkroom', 'shooter', 'the international', 'olympus has fallen', 'the hunting party', 'First Kill', 'The Equalizer 2']"
killers,"['x-men 2', 'the nutcracker in 3d', 'creepshow', 'grown ups 2', 'top cat begins', 'dragon blade', 'xi you ji zhi: sun wukong san da baigu jing', 'the internship', 'dragonheart', 'walking tall', 'curious george', 'marmaduke', 'man of the house', 'pirate radio', 'the tooth fairy', 'fat albert', 'life or something like it', 'delgo', 'nomad: the warrior', 'the last shot', 'the grandmaster']"
the man from u.n.c.l.e.,"[""Charlie's Angels"", ""charlie's angels"", 'Johnny English Strikes Again', 'Mission: Impossible – Fallout', 'The Lego Movie 2: The Second Part', 'spy kids: all the time in the world in 4d', 'batman v superman: dawn of justice', 'Spies in Disguise', 'agent cody banks', 'sherlock holmes: a game of shadows', 'the mask of zorro', 'Justice League', 'man of steel', 'Confidential Assignment', 'get smart', 'six days seven nights', 'last holiday', 'spy kids 2: island of lost dreams', ""charlie's angels: full throttle"", 'the cold light of day', 'swept away']"
spanglish,"['how do you know', 'shooting the warwicks', 'Speech & Debate', 'definitely, maybe', 'as good as it gets', 'the theory of everything', 'about a boy', 'punch-drunk love', 'the next best thing', 'harvard man', 'molly', 'the other end of the line', 'rock of ages', 'what a girl wants', 'when harry met sally...', 'funny people', 'grace of monaco', 'kill the messenger', 'Sandy Wexler', 'bedtime stories', 'coyote ugly']"
monster house,"['Rufus 2', 'monsters university', 'shrek forever after', 'minions', 'hotel transylvania', 'home on the range', 'doogal', 'legend of kung fu rabbit', 'Hotel Transylvania 3: Summer Vacation', 'Sherlock Gnomes', 'monsters, inc.', 'over the hedge', 'the ant bully', 'hotel transylvania 2', 'scooby-doo 2: monsters unleashed', 'the brave little toaster', 'The Grinch', 'the incredible burt wonderstone', 'ed and his dead mother', 'the haunted mansion', 'frankenweenie']"
bandits,"['an everlasting piece', 'man of the year', 'the story of us', 'the whole ten yards', 'set it off', 'what just happened', 'down terrace', 'Small Town Killers', 'the international', 'a thin line between love and hate', 'Juliet, Naked', 'double jeopardy', '16 blocks', 'the whole nine yards', 'saving silverman', 'observe and report', 'diner', 'hurricane streets', 'the barbarian invasions', 'striptease', 'ride along']"
first knight,"['King Arthur: Legend of the Sword', 'raise the titanic', 'the saint', 'reindeer games', 'quigley down under', 'the hunt for red october', 'the ice pirates', 'death calls', 'vertical limit', 'flight of the phoenix', 'maximum risk', 'crocodile dundee ii', 'Transformers: The Last Knight', ""smilla's sense of snow"", 'shadow conspiracy', 'agent cody banks', 'monty python and the holy grail', 'the mask of zorro', 'escape from l.a.', 'into the blue', 'the magic sword: quest for camelot']"
anna and the king,"['the legend of suriyothai', ""the king's speech"", 'the young victoria', 'the warlords', 'Rangoon', 'three kingdoms: resurrection of the dragon', 'New Trial', 'we were soldiers', 'love ranch', 'passchendaele', 'my life without me', 'ever after: a cinderella story', 'glory', 'what a girl wants', 'henry v', 'love me tender', 'joyeux noel', 'the molly maguires', 'Woman Walks Ahead', 'the flowers of war', 'gettysburg']"
immortals,"['supercross', 'american ninja 2: the confrontation', '300', 'dear john', 'the count of monte cristo', 'the legend of hercules', ""one man's hero"", 'wrath of the titans', '300: rise of an empire', 'Justice League', 'fetching cody', 'man of steel', 'beastly', 'pearl harbor', 'clash of the titans', ""winter's tale"", 'the cold light of day', 'arn: the knight templar', 'i think i love my wife', 'somewhere in time', ""alexander's ragtime band""]"
hostage,"['mercury rising', '16 blocks', 'stolen', 'lucky number slevin', 'the siege', 'secret in their eyes', 'the cold light of day', 'the jackal', 'the international', 'the losers', 'harper', 'shooter', 'kiss the girls', 'First Kill', 'live free or die hard', 'double jeopardy', 'righteous kill', 'run all night', 'domino', 'street fighter: the legend of chun-li', 'the specialist']"
titan a.e.,"['monsters vs. aliens', 'zathura: a space adventure', 'mars needs moms', 'elysium', 'the chronicles of riddick', 'teenage mutant ninja turtles iii', 'the land before time', 'digimon: the movie', 'after earth', 'Moontrap: Target Earth', 'spy kids 3-d: game over', 'Spark: A Space Tail', 'big hero 6', 'cloverfield', 'star trek into darkness', 'atlantis: the lost empire', 'journey 2: the mysterious island', 'the 5th wave', 'space chimps', 'independence day: resurgence', 'zoom']"
hollywood homicide,"['the whole ten yards', 'double jeopardy', 'run all night', ""the devil's own"", 'red', 'exit wounds', 'romeo is bleeding', 'wasabi', 'rush hour 3', 'rush hour 2', 'six days seven nights', 'getaway', 'war, inc.', 'Proud Mary', 'Stuber', 'the jackal', 'red 2', 'tango & cash', 'patriot games', 'unleashed', 'taxman']"
soldier,"['battle for the planet of the apes', 'equilibrium', 'death race', 'all superheroes must die', 'rapa nui', 'lilo & stitch', 'the dead undead', 'alien uprising', 'def-con 4', 'avp: alien vs. predator', 'resident evil: afterlife', ""the devil's tomb"", 'ultramarines: a warhammer 40,000 movie', 'gladiator', 'event horizon', 'independence daysaster', 'Revolt', 'El Camino: A Breaking Bad Movie', 'resident evil', 'space battleship yamato', 'ink']"
carriers,"['i am legend', 'The Silence', 'vessel', 'the scorch trials', '28 days later...', 'splice', 'firestarter', 'dreamcatcher', 'pulse', 'willard', 'quarantine', 'resident evil: retribution', 'a plague so pleasant', 'The Cured', 'victor frankenstein', 'pandorum', 'godsend', 'pitch black', 'the informers', 'under the skin', 'the lazarus effect']"
monkeybone,"['coraline', 'the nut job', 'looney tunes: back in action', 'furry vengeance', 'hop', 'bedazzled', 'alvin and the chipmunks: the squeakquel', 'alvin and the chipmunks: the road chip', 'escape from planet earth', 'aqua teen hunger force colon movie film for theaters', 'dudley do-right', 'my name is bruce', 'ernest & celestine', 'happy feet 2', 'inkheart', 'thunder and the house of magic', 'thomas and the magic railroad', 'The Dragon Spell', 'paranorman', 'shrek forever after', 'the smurfs 2']"
flight of the phoenix,"['four brothers', 'max payne', 'reindeer games', 'the grey', 'underworld: evolution', 'raise the titanic', 'the rookie', 'limbo', ""charlie's angels: full throttle"", 'days of thunder', 'The Darkest Minds', 'The Silence', 'the marine', 'american heist', 'the alamo', 'flyboys', '55 days at peking', 'open road', 'Churchill', 'sahara', 'domino']"
unbreakable,"['Glass', 'the sixth sense', 'meteor', 'chronicle', 'flight', 'secret in their eyes', 'lady in the water', 'sky high', 'circle', 'signs', 'the happening', 'griff the invisible', 'surrogates', 'impostor', 'dreamcatcher', 'code 46', 'the divide', 'the x files: i want to believe', 'h.', 'state of play', 'hostage']"
