director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name
Chris Noonan,Bill Paterson,Biography Drama Romance,Emily Watson,miss potte,Lucy Boynton
Kaige Chen,Toby Leonard Moore,Action Drama Fantasy,Dong-gun Jang,the promis,Nicholas Tse
Corey Yuen,Holly Valance,Action Adventure,Steve Howey,doa: dead or aliv,Sarah Carter
Andrew Dominik,Jeremy Renner,Biography Crime Drama History Western,Brad Pitt,the assassination of jesse james by the coward robert for,Sam Shepard
Li Zhang,Joan Chen,Action Adventure Drama History War,Bingbing Li,191,Jaycee Chan
Laurent Tirard,Sandrine Kiberlain,Comedy Family,Louise Bourgoin,little nichola,Kad Merad
Simon West,Michael Angarano,Action Crime Drama Thriller,Jason Statham,wild car,Jason Alexander
Marc Forster,Madeline Carroll,Action Biography Crime Drama,Gerard Butler,machine gun preache,Kathy Baker
Reinhard Klooss,Vanessa Redgrave,Animation Comedy Family,Jim Broadbent,animals unite,James Corden
Bille August,Patrick Lyster,Biography Drama History,Terry Pheto,the color of freedo,Tyrone Keogh
Frédéric Auburtin,Thomas Kretschmann,Drama History Sport,Fisher Stevens,united passion,Jemima West
Olivier Dahan,Frank Langella,Biography Drama Romance,Paz Vega,grace of monac,Derek Jacobi
Maksim Fadeev,Fedor Bondarchuk,Adventure Animation Fantasy,Konstantin Khabenskiy,a warrior's tai,Sergey Garmash
Liliana Cavani,Dougray Scott,Crime Drama Mystery Thriller,Ray Winstone,ripley's gam,Chiara Caselli
Greg Tiernan,Salma Hayek,Adventure Animation Comedy Fantasy,James Franco,sausage part,Anders Holm
Elizabeth Banks,Birgitte Hjort Sørensen,Comedy Music,Anna Kendrick,pitch perfect ,Hana Mae Lee
James Mangold,Dallas Roberts,Biography Drama Music Romance,Sandra Ellis Lafferty,walk the lin,Tyler Hilton
,Kirk Acevedo,Adventure Drama Mystery Sci-Fi Thriller,Amanda Schull,12 monkeys           ,Tom Noonan
Edward Norton,Milos Forman,Comedy Drama Romance,Lisa Edelstein,keeping the fait,Anne Bancroft
Peter Hewitt,Bradley Pierce,Adventure Comedy Family Fantasy,Jim Broadbent,the borrower,Mark Williams
Ron Howard,Clint Howard,Drama,Toby Jones,frost/nixo,Oliver Platt
George Clooney,David Julian Hirsh,Biography Comedy Crime Drama Romance Thriller,Dick Clark,confessions of a dangerous min,Jennifer Hall
Reginald Hudlin,Jerry Stiller,Comedy Romance,Matthew Perry,serving sar,Vincent Pastore
Ben Falcone,Tyler Labine,Comedy,Peter Dinklage,the bos,Ben Falcone
Richard Attenborough,Kevin McNally,Biography Drama History,Denzel Washington,cry freedo,Penelope Wilton
Lawrence Kasdan,Alfre Woodard,Comedy Drama,Zooey Deschanel,mumfor,Mary McDonnell
Don Mancini,Billy Boyd,Comedy Fantasy Horror Thriller,Jason Flemyng,seed of chuck,Hannah Spearritt
John Maybury,Jason Lewis,Drama Mystery Sci-Fi Thriller,Jennifer Jason Leigh,the jacke,Angel Coulby
Ron Clements,Frank Welker,Adventure Animation Comedy Family Fantasy Musical Romance,Robin Williams,aladdi,Scott Weinger
F. Gary Gray,Neil Brown Jr.,Biography Crime Drama History Music,Aldis Hodge,straight outta compto,R. Marcos Taylor
Steven Spielberg,Amrish Puri,Action Adventure,Harrison Ford,indiana jones and the temple of doo,Kate Capshaw
Igor Kovalyov,Cree Summer,Adventure Animation Comedy Drama Family Musical,Elizabeth Daily,the rugrats movi,Christine Cavanaugh
Lee Tamahori,Billy Burke,Crime Drama Thriller,Morgan Freeman,along came a spide,Monica Potter
Stephen Frears,Nina Arianda,Biography Comedy Drama Music Romance,Meryl Streep,florence foster jenkin,John Sessions
Robert Rodriguez,Salma Hayek,Action Crime Thriller,Johnny Depp,once upon a time in mexic,Enrique Iglesias
John McTiernan,Bruce Willis,Action Thriller,Alan Rickman,die har,Reginald VelJohnson
David Wain,Ken Marino,Comedy,Joe Lo Truglio,role model,Bobb'e J. Thompson
Adam McKay,Christian Bale,Biography Comedy Drama History,Ryan Gosling,the big shor,Charlie Talbert
Ang Lee,Kevin Chamberlin,Comedy Drama Music,Imelda Staunton,taking woodstoc,Demetri Martin
Gavin O'Connor,Noah Emmerich,Biography Drama History Sport,Eddie Cahill,miracl,Kenneth Mitchell
Zack Snyder,Kevin Zegers,Action Horror Thriller,Ty Burrell,dawn of the dea,Mekhi Phifer
Adam Shankman,Judy Greer,Comedy Romance,Matthew McConaughey,the wedding planne,Alex Rocco
Shinji Aramaki,Yû Aoi,Adventure Animation Sci-Fi,Shun Oguri,harlock: space pirat,Haruma Miura
Wes Anderson,Anjelica Huston,Comedy Drama,Bill Murray,the royal tenenbaum,Seymour Cassel
James Mangold,Rebecca De Mornay,Mystery Thriller,Clea DuVall,identit,Jake Busey
Jon Turteltaub,Morgan Freeman,Comedy Romance,Robert De Niro,last vega,Romany Malco
John Glen,Topol,Action Adventure Thriller,Julian Glover,for your eyes onl,Desmond Llewelyn
Peter Chelsom,David Sparrow,Comedy Romance,Lilli Lavine,serendipit,Ann Talman
Peter Hyams,Bruce McGill,Action Crime Sci-Fi Thriller,Mia Sara,timeco,Gloria Reuben
Ben Stiller,Alexander Skarsgård,Comedy,Milla Jovovich,zoolande,Will Ferrell
Lasse Hallström,Noah Lomax,Drama Romance Thriller,David Lyons,safe have,Mimi Kirkland
Kenny Ortega,Omri Katz,Comedy Family Fantasy,Vinessa Shaw,hocus pocu,Larry Bagby
Scott Hicks,Lily Rabe,Comedy Drama Romance,Zoë Kravitz,no reservation,Bob Balaban
Matthew Vaughn,Deborah Twiss,Action Comedy,Elizabeth McGovern,kick-as,Michael Rispoli
Ruben Fleischer,Dilshad Vadsaria,Action Comedy Crime,Bianca Kajlich,30 minutes or les,Fred Ward
Patrick Lussier,Danny Masterson,Action Fantasy Horror Thriller,Gerard Butler,dracula 200,Jeri Ryan
Miguel Arteta,Steve Carell,Comedy Family,Bella Thorne,"alexander and the terrible, horrible, no good, very bad da",Jennifer Garner
Joe Wright,Brenda Blethyn,Drama Romance,Talulah Riley,pride & prejudic,Simon Woods
Ridley Scott,Sean Young,Sci-Fi Thriller,Harrison Ford,blade runne,M. Emmet Walsh
Michael Caton-Jones,Jason Flemyng,Adventure Biography,Liam Neeson,rob ro,Eric Stoltz
McG,Richard Sammel,Action Drama Thriller,Connie Nielsen,3 days to kil,Tómas Lemarquis
James Gray,Oleg Taktarov,Crime Drama Thriller,Robert Duvall,we own the nigh,Antoni Corone
Janusz Kaminski,Bob Clendenin,Drama Horror Thriller,Philip Baker Hall,lost soul,Ben Chaplin
Jacques Perrin,Philippe Labro,Documentary,Jacques Perrin,winged migratio,unknown
Donald Petrie,Carlos Ponce,Comedy Fantasy Romance,Samaire Armstrong,just my luc,Faizon Love
Jay Roach,Mary McCormack,Comedy Drama Sport,Scott Grimes,"mystery, alask",Ron Eldard
Brian Levant,Amber Valletta,Action Comedy Family,Madeline Carroll,the spy next doo,George Lopez
Michael Ritchie,Francis Capra,Comedy Family Fantasy,Mara Wilson,a simple wis,Kathleen Turner
John Carpenter,Clea DuVall,Action Horror Sci-Fi,Jason Statham,ghosts of mar,Natasha Henstridge
David Gordon Green,Zoe Kazan,Comedy Drama,Dominic Flores,our brand is crisi,Scoot McNairy
Burr Steers,Bella Heathcote,Action Horror Romance,Matt Smith,pride and prejudice and zombie,Sam Riley
Martin Scorsese,Tulku Jamyang Kunga Tenzin,Biography Drama History War,Tenzin Thuthob Tsarong,kundu,Tencho Gyalpo
Robert B. Weide,Katherine Parkinson,Comedy Drama Romance,James Corden,how to lose friends & alienate peopl,Fenella Woolgar
Jeff Wadlow,Donald Faison,Action Comedy Crime,Chloë Grace Moretz,kick-ass ,Augustus Prew
Agustín Díaz Yanes,Elena Anaya,Adventure Drama History Romance Thriller War,Viggo Mortensen,captain alatriste: the spanish musketee,Eduardo Noriega
Camille Delamarre,Robert Maillet,Action Crime Drama Thriller,Paul Walker,brick mansion,RZA
John Glen,Kabir Bedi,Action Adventure Thriller,Louis Jourdan,octopuss,Steven Berkoff
Judd Apatow,Martin Starr,Comedy Romance,Harold Ramis,knocked u,Charlyne Yi
Nick Cassavetes,Sofia Vassilieva,Drama,Jason Patric,my sister's keepe,Jeffrey Markle
Malcolm D. Lee,Mike Epps,Comedy Drama Romance,Mo'Nique,"welcome home, roscoe jenkin",Cedric the Entertainer
David Lean,Judy Davis,Adventure Drama History,Richard Wilson,a passage to indi,Art Malik
Richard Eyre,Andrew Simpson,Crime Drama Romance Thriller,Phil Davis,notes on a scanda,Shaun Parkes
Gavin Hood,Jake Gyllenhaal,Drama Thriller,J.K. Simmons,renditio,Meryl Streep
,Mary Elizabeth Mastrantonio,Crime Drama Sci-Fi Thriller,Colin Salmon,limitless           ,Jake McDorman
Nicholas Meyer,Kurtwood Smith,Action Adventure Sci-Fi Thriller,Leonard Nimoy,star trek vi: the undiscovered countr,Nichelle Nichols
Callie Khouri,Fionnula Flanagan,Drama,Ellen Burstyn,divine secrets of the ya-ya sisterhoo,Matthew Settle
Jon Favreau,Bill Murray,Adventure Drama Family Fantasy,Scarlett Johansson,the jungle boo,Garry Shandling
Gary Fleder,Tony Goldwyn,Crime Drama Mystery Thriller,Morgan Freeman,kiss the girl,Tatyana Ali
John Landis,Aretha Franklin,Action Comedy Crime Music,John Belushi,the blues brother,Ray Charles
Sanaa Hamri,Blythe Danner,Comedy Drama Family Romance,America Ferrera,the sisterhood of the traveling pants ,Michael Rady
Todd Graff,Jeremy Jordan,Comedy Music,Dolly Parton,joyful nois,Jesse L. Martin
Chris Weitz,Christopher Webster,Comedy Drama Romance,Sharon Small,about a bo,Peter McNicholl
Steve Miner,Bridget Fonda,Action Comedy Horror,Oliver Platt,lake placi,Ty Olsson
Paul McGuigan,Morgan Freeman,Crime Drama Mystery Thriller,Bruce Willis,lucky number slevi,Dorian Missick
Philip Kaufman,Scott Glenn,Adventure Drama History,Dennis Quaid,the right stuf,Sam Shepard
Roland Emmerich,Joely Richardson,Drama History Thriller,Vanessa Redgrave,anonymou,Rafe Spall
Wolfgang Petersen,Barret Oliver,Adventure Drama Family Fantasy,Gerald McRaney,the neverending stor,Alan Oppenheimer
Alex Proyas,William Hurt,Action Drama Fantasy Mystery Sci-Fi Thriller,Rufus Sewell,dark cit,Bruce Spence
Saul Dibb,Hayley Atwell,Biography Drama History Romance,Dominic Cooper,the duches,Charlotte Rampling
,Art Carney,Comedy Family,Jackie Gleason,the honeymooners           ,Joyce Randolph
Walter Murch,Jean Marsh,Adventure Family Fantasy Horror Mystery,Piper Laurie,return to o,Tim Rose
Richard Linklater,Lew Temple,Action Crime Drama History Western,Matthew McConaughey,the newton boy,Dwight Yoakam
Christian Alvart,Callum Rennie,Horror Mystery Thriller,Bradley Cooper,case 3,Vanesa Tomasino
E. Elias Merhige,Kevin Chamberlin,Crime Drama Mystery Thriller,Harry Lennix,suspect zer,William Mapother
Menno Meyjes,Richard Schiff,Comedy Drama Family,Oliver Platt,martian chil,Sophie Okonedo
Robert Rodriguez,Joel McHale,Action Adventure Comedy Family Sci-Fi,Alexa PenaVega,spy kids: all the time in the world in 4,Daryl Sabara
Jodie Foster,Jack O'Connell,Crime Drama Thriller,Julia Roberts,money monste,Chris Bauer
Ronny Yu,Junix Inocian,Action Comedy Crime Thriller,Meat Loaf,formula 5,Paul Barber
Joel Schumacher,Philip Seymour Hoffman,Comedy Crime Drama,Robert De Niro,flawles,Chris Bauer
Renny Harlin,Clifton Collins Jr.,Crime Horror Mystery Thriller,LL Cool J,mindhunter,Eion Bailey
Barry Levinson,Robin Wright,Comedy Drama,Robert De Niro,what just happene,Kristen Stewart
Norman Jewison,Colin Salmon,Drama Thriller,Charlotte Rampling,the statemen,John Neville
Kenneth Branagh,Amy Carson,Drama Musical Romance,Kim-Marie Woodhouse,the magic flut,Joseph Kaiser
Steve Carr,Adhir Kalyan,Action Comedy Crime,Erick Avari,paul blart: mall co,Allen Covert
Mark Waters,Julie Gonzalo,Comedy Family Fantasy Music Romance,Jamie Lee Curtis,freaky frida,Willie Garson
Judd Apatow,Romany Malco,Comedy Romance,Steve Carell,the 40-year-old virgi,Gerry Bednob
John Madden,Martin Clunes,Comedy Drama Romance,Tom Wilkinson,shakespeare in lov,Simon Callow
Scott Frank,Boyd Holbrook,Crime Drama Mystery Thriller,Liam Neeson,a walk among the tombstone,David Harbour
Ivan Reitman,Cathy Moriarty,Action Comedy Crime,Richard Tyson,kindergarten co,Penelope Ann Miller
David Gordon Green,Gary Cole,Action Comedy Crime,James Franco,pineapple expres,Rosie Perez
Andy Tennant,Dougray Scott,Comedy Drama Romance,Anjelica Huston,ever after: a cinderella stor,Jeanne Moreau
Kevin Costner,Michael Jeter,Drama Romance Western,Robert Duvall,open rang,Julian Richings
Joel Schumacher,Oliver Platt,Drama Horror Sci-Fi Thriller,Julia Roberts,flatliner,Hope Davis
,Kaitlin Olson,Comedy,Rob McElhenney,it's always sunny in philadelphia           ,Glenn Howerton
Richard Attenborough,Dirk Bogarde,Drama History War,Ryan O'Neal,a bridge too fa,Wolfgang Preiss
Wes Craven,Carl Gilliard,Mystery Thriller,Robert Pine,red ey,Suzie Plakson
David R. Ellis,Michael Landes,Horror Thriller,Sarah Carter,final destination ,Keegan Connor Tracy
Joel Coen,Tim Blake Nelson,Adventure Comedy Crime Music,Holly Hunter,"o brother, where art thou",Daniel von Bargen
Scott Stewart,Kate Walsh,Action Fantasy Horror,Dennis Quaid,legio,Charles S. Dutton
Michael Bay,Larry Hankin,Comedy Crime Drama,Dwayne Johnson,pain & gai,Michael Rispoli
Paul Weitz,Ty Burrell,Comedy Drama Romance,Scarlett Johansson,in good compan,Dennis Quaid
Jonathan Frakes,Paula Garcés,Action Adventure Comedy Sci-Fi Thriller,Michael Biehn,clockstopper,Jason George
Lawrence Kasdan,Todd Allen,Action Crime Drama Western,Scott Glenn,silverad,Brad Leland
Jim Sheridan,Jake Gyllenhaal,Drama Thriller,Natalie Portman,brother,Bailee Madison
Kevin Allen,Frankie Muniz,Action Adventure Comedy Family Romance Sci-Fi,Daniel Roebuck,agent cody banks 2: destination londo,David Kelly
Garry Marshall,Common,Comedy Romance,Robert De Niro,new year's ev,Seth Meyers
Michael Cristofer,Gregory Itzin,Drama Mystery Romance Thriller,Angelina Jolie Pitt,original si,Jack Thompson
James McTeigue,Dave Legeno,Crime Mystery Thriller,Pam Ferris,the rave,Kevin McNally
Donald Petrie,Ray Romano,Comedy Romance,Rip Torn,welcome to moosepor,Maura Tierney
Andrew Morahan,Mako,Action Fantasy Romance Sci-Fi,Christopher Lambert,highlander: the final dimensio,Mario Van Peebles
Bob Rafelson,Mike Starr,Crime Drama Thriller,Harold Perrineau,blood and win,Judy Davis
Michael Cohn,Chris Bauer,Fantasy Horror,David Conrad,snow white: a tale of terro,Monica Keena
Woody Allen,Elizabeth Berkley,Comedy Crime Mystery Romance,Woody Allen,the curse of the jade scorpio,Peter Gerety
David O. Russell,Kirstie Alley,Comedy Romance,Jake Gyllenhaal,accidental lov,Beverly D'Angelo
Alan Shapiro,Chelsea Field,Adventure Family,Paul Hogan,flippe,Jessica Wesson
Tarsem Singh,Derek Luke,Action Mystery Sci-Fi Thriller,Ryan Reynolds,self/les,Sandra Ellis Lafferty
Fernando Meirelles,Danny Huston,Drama Mystery Romance Thriller,Archie Panjabi,the constant gardene,Donald Sumpter
Mel Gibson,Maia Morgenstern,Drama,Christo Jivkov,the passion of the chris,Hristo Shopov
Chris Columbus,Mara Wilson,Comedy Drama Family Romance,Robin Williams,mrs. doubtfir,Matthew Lawrence
Barry Levinson,Valeria Golino,Drama,Tom Cruise,rain ma,Beth Grant
Clint Eastwood,Dreama Walker,Drama,Clint Eastwood,gran torin,Ahney Her
Oliver Stone,Scott Glenn,Biography Drama History,Toby Jones,w,Bruce McGill
Pierre Morel,Holly Valance,Action Thriller,Liam Neeson,take,Xander Berkeley
Michael Hoffman,Gerald McRaney,Drama Romance,Luke Bracey,the best of m,Clarke Peters
Mick Jackson,Mike Starr,Action Drama Music Romance,Bill Cobbs,the bodyguar,DeVaughn Nixon
Steven Spielberg,Embeth Davidtz,Biography Drama History,Liam Neeson,schindler's lis,Caroline Goodall
Tate Taylor,Bryce Dallas Howard,Drama,Emma Stone,the hel,Mike Vogel
Bill Condon,Peter Capaldi,Biography Drama Thriller,Benedict Cumberbatch,the fifth estat,Jamie Blackley
Raja Gosnell,Linda Cardellini,Adventure Comedy Family Fantasy Horror Mystery,Sarah Michelle Gellar,scooby-doo 2: monsters unleashe,Tim Blake Nelson
Oleg Stepchenko,Igor Jijikine,Adventure Fantasy Mystery Thriller,Jason Flemyng,vi,Agnia Ditkovskite
Ronny Yu,Jason Ritter,Action Horror Thriller,Katharine Isabelle,freddy vs. jaso,Zack Ward
Michael Winterbottom,Ava Acres,Drama,Cara Delevingne,the face of an ange,Sara Stewart
John A. Davis,Rob Paulsen,Action Adventure Animation Comedy Family Sci-Fi,Martin Short,jimmy neutron: boy geniu,Andrea Martin
Matt Reeves,Ben Feldman,Action Adventure Horror Sci-Fi,Mike Vogel,cloverfiel,Liza Lapira
Michael Pressman,Paige Turco,Action Adventure Comedy Family Sci-Fi,Kevin Nash,teenage mutant ninja turtles ii: the secret of the ooz,Ernie Reyes Jr.
Brian De Palma,Billy Drago,Crime Drama Thriller,Robert De Niro,the untouchable,Charles Martin Smith
Ethan Coen,Stephen Root,Crime Drama Thriller,Kelly Macdonald,no country for old me,Barry Corbin
Tim Story,Tika Sumpter,Action Comedy Crime Romance,Bruce McGill,ride alon,Bryan Callen
Sharon Maguire,Jim Broadbent,Comedy Drama Romance,Colin Firth,bridget jones's diar,Shirley Henderson
Lasse Hallström,Leslie Caron,Drama Romance,Lena Olin,chocola,Hugh O'Conor
Charles Herman-Wurmfeld,Bruce McGill,Comedy,Mary Lynn Rajskub,"legally blonde 2: red, white & blond",Bob Newhart
Andy Fickman,Gedde Watanabe,Comedy Family,Bailee Madison,parental guidanc,Tom Everett Scott
Ivan Reitman,Greta Gerwig,Comedy Romance,Natalie Portman,no strings attache,Mindy Kaling
George P. Cosmatos,Dana Delany,Action Biography Drama History Romance Western,Michael Biehn,tombston,Powers Boothe
Andrzej Bartkowiak,Delroy Lindo,Action Crime Thriller,Jet Li,romeo must di,Aaliyah
Richard Donner,Patrick Troughton,Fantasy Horror Mystery,Lee Remick,the ome,Billie Whitelaw
James Wong,Gina Holden,Horror,Chelan Simmons,final destination ,Crystal Lowe
Scott Hicks,Riley Thomas Stewart,Drama Romance,Blythe Danner,the lucky on,Jay R. Ferguson
Gabor Csupo,Zooey Deschanel,Adventure Drama Family Fantasy,Josh Hutcherson,bridge to terabithi,Bailee Madison
Marc Forster,Kate Winslet,Biography Drama Family,Johnny Depp,finding neverlan,Kelly Macdonald
Tyler Perry,Tika Sumpter,Comedy Drama,Alicia Witt,a madea christma,Larry the Cable Guy
Joe Carnahan,Frank Grillo,Action Adventure Drama Thriller,Liam Neeson,the gre,James Badge Dale
John Polson,Dylan Baker,Drama Horror Mystery Thriller,Robert De Niro,hide and see,Robert John Burke
Adam McKay,Will Ferrell,Comedy,Darcy Donavan,anchorman: the legend of ron burgund,Steve Carell
Martin Scorsese,Mike Starr,Biography Crime Drama,Robert De Niro,goodfella,Paul Sorvino
Harald Zwart,Frankie Muniz,Action Adventure Comedy Crime Family Romance Thriller,Daniel Roebuck,agent cody bank,Chris Gauthier
Kirk Jones,Kelly Macdonald,Comedy Family Fantasy,Colin Firth,nanny mcphe,Imelda Staunton
Brian De Palma,F. Murray Abraham,Crime Drama,Al Pacino,scarfac,Mary Elizabeth Mastrantonio
Steve Oedekerk,Michael McKean,Action Adventure Comedy Crime,Kelly Preston,nothing to los,Rebecca Gayheart
Bernardo Bertolucci,Joan Chen,Biography Drama History,Cary-Hiroyuki Tagawa,the last empero,Victor Wong
Baltasar Kormákur,David O'Hara,Action Crime Drama Thriller,J.K. Simmons,contraban,Lukas Haas
Brett Ratner,Paul Sorvino,Action Comedy Crime Thriller,Heather Locklear,money talk,Faizon Love
Paul Thomas Anderson,Paul F. Tompkins,Drama,Jim Meskimen,there will be bloo,Kevin Breznahan
Cathy Malkasian,Flea,Adventure Animation Comedy Family Fantasy,Alfre Woodard,the wild thornberrys movi,Cree Summer
John Eng,Cree Summer,Adventure Animation Comedy Family Fantasy Musical,Elizabeth Daily,rugrats go wil,Nancy Cartwright
Malcolm D. Lee,Eddie Griffin,Action Comedy,Dave Chappelle,undercover brothe,Chi McBride
Ken Kwapis,America Ferrera,Comedy Drama Family Romance,Mike Vogel,the sisterhood of the traveling pant,Kyle Schmid
Chris Nahon,Bridget Fonda,Action Crime Drama Thriller,Jet Li,kiss of the drago,Max Ryan
Fred Wolf,Katharine McPhee,Comedy Romance,Emma Stone,the house bunn,Beverly D'Angelo
Bille Woodruff,Keshia Knight Pulliam,Comedy,Alfre Woodard,beauty sho,LisaRaye McCoy
Craig Gillespie,Suraj Sharma,Biography Drama Sport,Jon Hamm,million dollar ar,Gregory Alan Williams
Phillip Noyce,Meryl Streep,Drama Romance Sci-Fi,Jeff Bridges,the give,Alexander Skarsgård
Dennie Gordon,Oliver James,Comedy Drama Family Romance,Colin Firth,what a girl want,Kelly Preston
Victor Salva,Jonathan Breck,Horror,Nicki Aycox,jeepers creepers i,Billy Aaron Brown
Mark Helfrich,Dan Fogler,Comedy Romance,Dane Cook,good luck chuc,Chelan Simmons
Andrzej Bartkowiak,Tom Arnold,Action Crime Drama Thriller,Jet Li,cradle 2 the grav,DMX
Stephen Daldry,Stephen Dillane,Drama Romance,Meryl Streep,the hour,Miranda Richardson
Andy Fickman,Alexandra Breckenridge,Comedy Romance,Channing Tatum,she's the ma,Laura Ramsey
Steve Bendelack,Emma de Caunes,Comedy Family,Lily Atkinson,mr. bean's holida,Steve Pemberton
Dwight H. Little,Salli Richardson-Whitfield,Action Adventure Horror Thriller,Nicholas Gonzalez,anacondas: the hunt for the blood orchi,Johnny Messner
Guillaume Canet,Lili Taylor,Crime Drama Thriller,Mila Kunis,blood tie,Billy Crudup
Kirsten Sheridan,Aaron Staton,Drama Music,Robin Williams,august rus,Marian Seldes
Shekhar Kapur,John Gielgud,Biography Drama History,Fanny Ardant,elizabet,Eric Cantona
Ronny Yu,Park Bench,Comedy Fantasy Horror Romance,Alexis Arquette,bride of chuck,Vince Corazza
Richard Fleischer,Richard Anderson,Action Drama History War,Joseph Cotten,tora! tora! tora,James Whitmore
Bob Spiers,Richard Briers,Comedy Family Music,Jason Flemyng,spice worl,Victoria Beckham
David Gordon Green,J.B. Smoove,Comedy,Ari Graynor,the sitte,Kylie Bunbury
Damien Dante Wayans,Essence Atkins,Action Comedy Music,Damon Wayans Jr.,dance flic,Chris Elliott
Frank Darabont,Jeffrey DeMunn,Crime Drama,Morgan Freeman,the shawshank redemptio,Bob Gunton
Simon Wincer,Paul Hogan,Adventure Comedy Crime,Jere Burns,crocodile dundee in los angele,Linda Kozlowski
Bobby Farrelly,Lin Shaye,Comedy Sport,Bill Murray,kingpi,Richard Tyson
Rupert Wyatt,Cjon Saulsberry,Crime Drama Thriller,George Kennedy,the gamble,Griffin Cleveland
John Wells,Meryl Streep,Drama,Benedict Cumberbatch,august: osage count,Julia Roberts
Tim Fywell,Trevor Blumas,Comedy Drama Family Sport,Connie Ray,ice princes,Amy Stewart
Nigel Cole,Tyrone Giordano,Comedy Drama Romance,Aimee Garcia,a lot like lov,James Read
Dexter Fletcher,Taron Egerton,Biography Comedy Drama Sport,Hugh Jackman,eddie the eagl,Tim McInnerny
Spike Lee,Milla Jovovich,Drama Sport,Denzel Washington,he got gam,Rosario Dawson
Jeremy Leven,Marlon Brando,Comedy Drama Romance,Johnny Depp,don juan demarc,Faye Dunaway
,John Sparkes,Animation Comedy Family,Justin Fletcher,shaun the sheep           ,Kate Harbour
Lasse Hallström,Henry Thomas,Drama Romance War,Channing Tatum,dear joh,Scott Porter
Sylvain White,Jason Patric,Action Crime Drama Mystery Thriller,Chris Evans,the loser,Óscar Jaenada
Troy Nixey,Alan Dale,Fantasy Horror Thriller,Bailee Madison,don't be afraid of the dar,Jack Thompson
Philip G. Atwell,Jet Li,Action Crime Thriller,Jason Statham,wa,Nadine Velazquez
Paul Thomas Anderson,Emily Watson,Comedy Drama Romance Thriller,Adam Sandler,punch-drunk lov,Don McManus
Jeff Schaffer,Scott Mechlowicz,Comedy,Matt Damon,eurotri,Jacob Pitts
Don Michael Paul,Nia Peeples,Action Crime Thriller,Claudia Christian,half past dea,Tony Plana
Paul Feig,Rob Riggle,Adventure Comedy Family Romance,Tyler James Williams,unaccompanied minor,B.J. Novak
James Bridges,Phoebe Cates,Drama,Dianne Wiest,"bright lights, big cit",Swoosie Kurtz
Steve Barron,Udo Kier,Adventure Family Fantasy Musical,Martin Landau,the adventures of pinocchi,Bebe Neuwirth
Bill Paxton,Matthew Knight,Drama History Sport,Stephen Dillane,the greatest game ever playe,Amanda Tilson
Richard Kelly,Gillian Jacobs,Drama Fantasy Mystery Thriller,Frank Langella,the bo,Celia Weston
Carter Smith,Jonathan Tucker,Horror,Laura Ramsey,the ruin,Sergio Calderón
John Schlesinger,Rupert Everett,Comedy Drama Romance,Mark Valley,the next best thin,Illeana Douglas
Wes Craven,Emily Meade,Horror Mystery Thriller,Frank Grillo,my soul to tak,Zena Grey
Luke Greenfield,Timothy Bottoms,Comedy Drama Romance,Chris Marquette,the girl next doo,Jacob Young
Ringo Lam,Zach Grenier,Action Crime Mystery Romance Thriller,Natasha Henstridge,maximum ris,Paul Ben-Victor
Bruce McCulloch,Megan Mullally,Comedy Crime,Martin Starr,stealing harvar,Chris Penn
Brian Helgeland,Paul Anderson,Biography Crime Drama History Thriller,Tom Hardy,legen,Tara Fitzgerald
Akiva Schaffer,Jorma Taccone,Comedy,Sissy Spacek,hot ro,Chris Parnell
David R. Ellis,Joel David Moore,Horror Thriller,Chris Zylka,shark night 3,Katharine McPhee
Alan Parker,Devon Murray,Drama,Emily Watson,angela's ashe,Pauline McLynn
Ivan Reitman,Chi McBride,Drama Sport,Jennifer Garner,draft da,Patrick St. Esprit
Tobe Hooper,Steve Railsback,Action Horror Sci-Fi Thriller,Frank Finlay,lifeforc,Peter Firth
,Jennifer Hale,Action Animation Comedy Family Fantasy Sci-Fi,Elizabeth Daily,the powerpuff girls           ,Tom Kane
Robert Redford,Tom Wilkinson,Crime Drama History,Robin Wright,the conspirato,Stephen Root
Catherine Hardwicke,Michael Angarano,Biography Drama Sport,Heath Ledger,lords of dogtow,Rebecca De Mornay
Patricia Riggen,James Brolin,Biography Drama History,Marco Treviño,the 3,Jacob Vargas
John Carpenter,Kate Burton,Action Adventure Comedy Fantasy,Victor Wong,big trouble in little chin,Peter Kwong
Pascal Chaumeil,Malonn Lévana,Comedy Romance,Dany Boon,a perfect pla,Alice Pol
Gavin O'Connor,Frank Grillo,Drama Sport,Tom Hardy,warrio,Kevin Dunn
Neil Jordan,Liam Neeson,Biography Drama Thriller War,Alan Rickman,michael collin,Julia Roberts
Ron Maxwell,William Morgan Sheppard,Drama History War,Tom Berenger,gettysbur,James Patrick Stuart
Kimberly Peirce,Channing Tatum,Drama War,Joseph Gordon-Levitt,stop-los,Abbie Cornish
Stephen Gaghan,Zooey Deschanel,Drama Music Mystery Romance Thriller,Charlie Hunnam,abando,Tony Goldwyn
Jonathan Kaplan,Tom Amandes,Drama Mystery Thriller,John Doe,brokedown palac,Daniel Lapaine
Ole Bornedal,Madison Davenport,Horror Thriller,Kyra Sedgwick,the possessio,Natasha Calis
Richard Benjamin,Jane Krakowski,Comedy Drama Romance,Brendan Fraser,mrs. winterbourn,Cathryn de Prume
Rod Lurie,Laz Alonso,Action Drama Thriller,Alexander Skarsgård,straw dog,Rhys Coiro
