,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name
927,Andrew Adamson,Chris Miller,Adventure Animation Comedy Family Fantasy,Kathleen Freeman,shre,Bobby Block
928,George Nolfi,Michael Kelly,Romance Sci-Fi Thriller,Matt Damon,the adjustment burea,Jon Stewart
929,Kevin Reynolds,Morgan Freeman,Action Adventure Drama Romance,Alan Rickman,robin hood: prince of thieve,Michael Wincott
930,Cameron Crowe,Kelly Preston,Comedy Drama Romance Sport,Tom Cruise,jerry maguir,Bonnie Hunt
931,Seth MacFarlane,Seth MacFarlane,Comedy Fantasy,Mila Kunis,te,Tom Skerritt
932,James L. Brooks,Yeardley Smith,Comedy Drama Romance,Lupe Ontiveros,as good as it get,Shirley Knight
933,Tom Shadyac,Philip Seymour Hoffman,Biography Comedy Drama Romance,Robin Williams,patch adam,Monica Potter
934,Adam McKay,Will Ferrell,Comedy,Harrison Ford,anchorman 2: the legend continue,Steve Carell
935,Steven Brill,Adam Sandler,Comedy Romance,Steve Buscemi,mr. deed,Peter Gallagher
936,J.J. Abrams,AJ Michalka,Mystery Sci-Fi Thriller,Joel Courtney,super ,Zach Mills
937,Steven Soderbergh,Albert Finney,Biography Drama,Julia Roberts,erin brockovic,Conchata Ferrell
938,Donald Petrie,Adam Goldberg,Comedy Romance,Matthew McConaughey,how to lose a guy in 10 day,Thomas Lennon
939,Phil Lord,Craig Roberts,Action Comedy Crime,Channing Tatum,22 jump stree,Amber Stevens West
940,Neil Jordan,Tom Cruise,Drama Fantasy Horror,Brad Pitt,interview with the vampire: the vampire chronicle,Kirsten Dunst
941,Peyton Reed,Zooey Deschanel,Comedy Romance,Bradley Cooper,yes ma,Danny Masterson
942,Rawson Marshall Thurber,Thomas Kretschmann,Action Comedy Crime,Dwayne Johnson,central intelligenc,Megan Park
943,Chris Columbus,Liam Aiken,Comedy Drama,Julia Roberts,stepmo,Herbert Russell
944,Sean Anders,Linda Cardellini,Comedy Family,Will Ferrell,daddy's hom,Mark L. Young
945,Rob Marshall,Meryl Streep,Adventure Comedy Drama Fantasy Musical,Johnny Depp,into the wood,Anna Kendrick
946,Spike Lee,James Ransone,Crime Drama Mystery Thriller,Denzel Washington,inside ma,Peter Gerety
947,Brian Helgeland,Deborah Kara Unger,Action Crime Drama Thriller,Bill Duke,paybac,William Devane
948,Frank Marshall,Joe Don Baker,Action Adventure Mystery Sci-Fi,Dylan Walsh,cong,Grant Heslov
949,Cameron Crowe,Matt Damon,Comedy Drama Family,Scarlett Johansson,we bought a zo,Stephanie Szostak
950,Alex Proyas,Ben Mendelsohn,Drama Mystery Sci-Fi Thriller,Nicolas Cage,knowin,Chandler Canterbury
951,Tom Dey,Matthew McConaughey,Comedy Romance,Bradley Cooper,failure to launc,Zooey Deschanel
952,Hideo Nakata,Gary Cole,Horror Mystery,Naomi Watts,the ring tw,Sissy Spacek
953,Glenn Ficarra,Emma Stone,Comedy Drama Romance,Ryan Gosling,"crazy, stupid, love",Steve Carell
954,Peter Hewitt,Mark Christopher Lawrence,Animation Comedy Family Fantasy,Bill Murray,garfiel,Michael Monks
955,Joe Roth,Cheech Marin,Comedy Family,Jamie Lee Curtis,christmas with the krank,Jake Busey
956,Bennett Miller,Robin Wright,Biography Drama Sport,Philip Seymour Hoffman,moneybal,Brad Pitt
957,Wolfgang Petersen,Morgan Freeman,Action Drama Thriller,Kevin Spacey,outbrea,Rene Russo
958,Jaume Collet-Serra,Nate Parker,Action Mystery Thriller,Liam Neeson,non-sto,Scoot McNairy
959,Andy Fickman,Billy Brown,Action Adventure Family Fantasy Sci-Fi Thriller,Dwayne Johnson,race to witch mountai,Tom Everett Scott
960,James McTeigue,Eddie Marsan,Action Drama Thriller,Natalie Portman,v for vendett,Rupert Graves
961,David Dobkin,Anna-Louise Plowman,Action Adventure Comedy,Fann Wong,shanghai knight,Georgina Chapman
962,,Gemma Jones,Crime Drama,Bernard Hill,unforgotten           ,Nicola Walker
963,Matthew O'Callaghan,Frank Welker,Adventure Animation Comedy Family,Will Ferrell,curious georg,Alexander Gould
964,Angela Robinson,Thomas Lennon,Adventure Comedy Family Fantasy Romance Sport,Scoot McNairy,herbie fully loade,Cheryl Hines
965,Gary Fleder,Jennifer Esposito,Crime Drama Mystery Thriller,Oliver Platt,don't say a wor,Conrad Goode
966,Tommy Wirkola,Derek Mears,Action Fantasy Horror,Jeremy Renner,hansel & gretel: witch hunter,Ingrid Bolsø Berdal
967,Adrian Lyne,Erik Per Sullivan,Drama Thriller,Olivier Martinez,unfaithfu,Chad Lowe
968,D.J. Caruso,Emily Wickersham,Action Adventure Sci-Fi Thriller,Alex Pettyfer,i am number fou,Reuben Langdon
969,Stephen Gaghan,Amr Waked,Drama Thriller,Matt Damon,syrian,Kayvan Novak
970,Michael Bay,James Badge Dale,Action Drama Thriller War,Toby Stephens,13 hour,David Costabile
971,Jorge R. Gutiérrez,Hector Elizondo,Adventure Animation Comedy Family Fantasy Romance,Channing Tatum,the book of lif,Ana de la Reguera
972,Richard Loncraine,Harrison Ford,Crime Thriller,Jimmy Bennett,firewal,Mary Lynn Rajskub
973,Clint Eastwood,Mark Margolis,Action Crime Drama Thriller,Clint Eastwood,absolute powe,Scott Glenn
974,Ridley Scott,Demi Moore,Action Drama War,Viggo Mortensen,g.i. jan,John Michael Higgins
975,David Fincher,Armin Mueller-Stahl,Drama Mystery Thriller,Deborah Kara Unger,the gam,Charles Martinet
976,Christophe Gans,Deborah Kara Unger,Adventure Horror Mystery,Radha Mitchell,silent hil,Alice Krige
977,Howard Deutch,Jon Favreau,Comedy Sport,Keanu Reeves,the replacement,Faizon Love
978,Jon Hurwitz,Dania Ramirez,Comedy,Alyson Hannigan,american reunio,Natasha Lyonne
979,F. Gary Gray,Michael Cudlitz,Action Crime Drama Mystery Thriller,Kevin Spacey,the negotiato,Siobhan Fallon Hogan
980,Steven Quale,Alycia Debnam-Carey,Action Thriller,Matt Walsh,into the stor,Scott Lawrence
981,John Landis,Jon Tenney,Action Comedy Crime Thriller,Louis Lombardi,beverly hills cop ii,Gilbert R. Hill
982,Joe Dante,Robert Picardo,Comedy Fantasy Horror,Christopher Lee,gremlins 2: the new batc,Phoebe Cates
983,David Dobkin,Robert Duvall,Crime Drama,Robert Downey Jr.,the judg,Leighton Meester
984,Mimi Leder,Holt McCallany,Action Thriller,Armin Mueller-Stahl,the peacemake,Marcel Iures
985,Alexander Witt,Thomas Kretschmann,Action Horror Sci-Fi Thriller,Milla Jovovich,resident evil: apocalyps,Mike Epps
986,Beeban Kidron,Jim Broadbent,Comedy Drama Romance,Colin Firth,bridget jones: the edge of reaso,Celia Imrie
987,Carl Franklin,Sanaa Lathan,Crime Drama Romance Thriller,Denzel Washington,out of tim,John Billingsley
988,Steven Seagal,Joan Chen,Action Adventure Thriller,Mike Starr,on deadly groun,Sven-Ole Thorsen
989,Robert Rodriguez,Kristin Davis,Action Adventure Family Fantasy,Taylor Lautner,the adventures of sharkboy and lavagirl 3-,Taylor Dooley
990,Danny Boyle,Virginie Ledoyen,Adventure Drama Thriller,Leonardo DiCaprio,the beac,Peter Youngblood Hills
991,Garry Marshall,Felicity Huffman,Comedy Drama Romance,Amber Valletta,raising hele,Spencer Breslin
992,James McTeigue,Ben Miles,Action Crime Thriller,Shô Kosugi,ninja assassi,Rain
993,Sam Raimi,Kelly Preston,Drama Romance Sport,J.K. Simmons,for love of the gam,Carmine Giovinazzo
994,,Bruce Alexander,Crime Drama Mystery,David Jason,a touch of frost           ,John Lyons
995,Andrew Bergman,Rumer Willis,Comedy Crime Drama Thriller,Demi Moore,stripteas,Paul Guilfoyle
996,Tom Dey,Judy Greer,Comedy Family,Emma Stone,marmaduk,Steve Coogan
997,Clint Eastwood,Jay Mohr,Drama Fantasy,Matt Damon,hereafte,Cécile De France
998,Barbet Schroeder,Chris Penn,Crime Mystery Thriller,Ryan Gosling,murder by number,Agnes Bruckner
999,Richard Donner,Sylvester Stallone,Action Crime Thriller,Muse Watson,assassin,Kelly Rowan
1000,Peter Webber,Stephen Walters,Crime Drama Thriller,Li Gong,hannibal risin,Richard Brake
1001,Rob Reiner,Tim Matheson,Comedy Drama Romance,Bruce Willis,the story of u,Rita Wilson
1002,Andrew Niccol,Chandler Canterbury,Action Adventure Romance Sci-Fi Thriller,J.D. Evermore,the hos,Rachel Roberts
1003,John McTiernan,Harry Connick Jr.,Action Crime Drama Mystery Thriller,Connie Nielsen,basi,Tim Daly
1004,Clint Eastwood,Anjelica Huston,Action Crime Drama Mystery Thriller,Clint Eastwood,blood wor,Rick Hoffman
1005,Tom Tykwer,Brían F. O'Byrne,Action Crime Drama Mystery Thriller,Naomi Watts,the internationa,Armin Mueller-Stahl
1006,John Carpenter,Valeria Golino,Action Adventure Sci-Fi Thriller,Steve Buscemi,escape from l.a,Michelle Forbes
1007,,Brittany Curran,Drama Mystery Thriller,Grey Damon,twisted           ,Aaron Hill
1008,Brad Bird,Harry Connick Jr.,Action Adventure Animation Comedy Drama Family Sci-Fi,Vin Diesel,the iron gian,M. Emmet Walsh
1009,Wes Anderson,Anjelica Huston,Adventure Comedy Drama,Bill Murray,the life aquatic with steve zisso,Matthew Gray Gubler
1010,Gary Ross,Donald Watkins,Action Biography Drama History War,Matthew McConaughey,free state of jone,Jessica Collins
1011,Alan Parker,Kate Winslet,Crime Drama Thriller,Kevin Spacey,the life of david gal,Matt Craven
1012,Stephen Herek,Vanessa Ferlito,Action Comedy,Christina Milian,man of the hous,Kelli Garner
1013,Jaume Collet-Serra,Common,Action Crime Drama Thriller,Liam Neeson,run all nigh,Bruce McGill
1014,David Cronenberg,Naomi Watts,Crime Mystery Thriller,Viggo Mortensen,eastern promise,Raza Jaffrey
1015,John Stockwell,James Frain,Action Adventure Crime Thriller,Paul Walker,into the blu,Ashley Scott
1016,Luc Besson,David Bailie,Adventure Biography Drama History War,Paul Brooke,the messenger: the story of joan of ar,Rab Affleck
1017,David Gordon Green,Zooey Deschanel,Adventure Comedy Fantasy,Natalie Portman,your highnes,James Franco
1018,Jim Sheridan,Gregory Smith,Drama Mystery Thriller,Naomi Watts,dream hous,Sarah Gadon
1019,Costa-Gavras,Blythe Danner,Crime Drama Thriller,Mia Kirshner,mad cit,William Atherton
1020,Patrick Read Johnson,Lara Flynn Boyle,Adventure Comedy Crime Drama Family,Joe Mantegna,baby's day ou,Cynthia Nixon
1021,Roland Joffé,Robert Duvall,Drama Romance,Gary Oldman,the scarlet lette,Demi Moore
1022,Doug Liman,Ty Burrell,Biography Drama Thriller,Naomi Watts,fair gam,Brooke Smith
1023,,Tony Curran,Action Drama Sci-Fi,Julie Benz,defiance           ,Grant Bowler
1024,Tony Scott,Mo'Nique,Action Biography Crime Drama Thriller,Ian Ziering,domin,Edgar Ramírez
1025,William Friedkin,Chazz Palminteri,Crime Drama Thriller,Michael Biehn,jad,Linda Fiorentino
1026,Mark Neveldine,Logan Lerman,Action Sci-Fi Thriller,Gerard Butler,game,Alison Lohman
1027,Richard LaGravenese,Zoey Deutch,Drama Fantasy Romance,Alden Ehrenreich,beautiful creature,Pruitt Taylor Vince
1028,Danny DeVito,Vincent Schiavelli,Comedy Crime Drama Thriller,Robin Williams,death to smooch,Danny Woodburn
1029,Ben Stiller,Will Ferrell,Comedy,Milla Jovovich,zoolander ,Justin Theroux
1030,George Armitage,Andrew Wilson,Comedy Crime,Morgan Freeman,the big bounc,Willie Nelson
1031,Mike Nichols,Linda Fiorentino,Comedy Sci-Fi,Judy Greer,what planet are you from,Garry Shandling
1032,Patrick Lussier,Billy Burke,Action Fantasy Thriller,Nicolas Cage,drive angr,Katy Mixon
1033,Andrzej Bartkowiak,Robin Shou,Action Crime Drama Mystery Thriller,Chris Klein,street fighter: the legend of chun-l,Josie Ho
1034,James Wong,Jet Li,Action Sci-Fi Thriller,Jason Statham,the on,Delroy Lindo
1035,,Graham McTavish,Drama Romance Sci-Fi,Tobias Menzies,outlander           ,Stephen Walters
1036,Renny Harlin,Gilbert Gottfried,Action Adventure Comedy Crime Music Mystery,Lauren Holly,the adventures of ford fairlan,David Patrick Kelly
1037,Richard Curtis,Charlie Rowe,Comedy Drama Music,Philip Seymour Hoffman,pirate radi,Tom Sturridge
1038,Steven Soderbergh,Jacob Vargas,Crime Drama Thriller,Michael O'Neill,traffi,James Lew
1039,Steven Spielberg,Julian Glover,Action Adventure Fantasy,Harrison Ford,indiana jones and the last crusad,Alison Doody
1040,Joe Wright,Guro Nagelhus Schia,Drama Romance,Kelly Macdonald,anna karenin,Matthew Macfadyen
1041,Neill Blomkamp,Sharlto Copley,Action Crime Drama Sci-Fi Thriller,Hugh Jackman,chappi,Jose Pablo Cantillo
1042,Phillip Noyce,Angelina Jolie Pitt,Crime Drama Mystery Thriller,Denzel Washington,the bone collecto,Leland Orser
1043,David Fincher,Dwight Yoakam,Crime Drama Thriller,Kristen Stewart,panic roo,Mel Rodriguez
1044,Chuck Bowman,Lochlyn Munro,Horror Thriller,P.J. Soles,the tooth fair,Steve Bacic
1045,David O. Russell,Jamie Kennedy,Action Adventure Comedy Drama War,Judy Greer,three king,Mykelti Williamson
1046,Daniel Espinosa,Fares Fares,Crime Drama Thriller,Tom Hardy,child 4,Michael Nardone
1047,Jerry Zucker,Douglas Haase,Adventure Comedy,Corinna Harney,rat rac,Vince Vieluf
1048,Iain Softley,Jeff Bridges,Drama Mystery Sci-Fi,Kevin Spacey,k-pa,Alfre Woodard
1049,James Mangold,Natasha Lyonne,Comedy Fantasy Romance,Hugh Jackman,kate & leopol,Bradley Whitford
1050,Harold Ramis,Frances O'Connor,Comedy Fantasy Romance,Brendan Fraser,bedazzle,Brian Doyle-Murray
1051,Francis Ford Coppola,Bob Hoskins,Crime Drama Music,Nicolas Cage,the cotton clu,Fred Gwynne
1052,James Mangold,Logan Lerman,Adventure Crime Drama Western,Christian Bale,3:10 to yum,Gretchen Mol
1053,Olivier Megaton,Dougray Scott,Action Thriller,Liam Neeson,taken ,Jon Gries
1054,Steven Soderbergh,Albert Brooks,Crime Drama Romance Thriller,Don Cheadle,out of sigh,Keith Hudson
1055,Ben Stiller,Janeane Garofalo,Comedy Drama Thriller,Matthew Broderick,the cable gu,Andy Dick
1056,Deepa Mehta,Gulshan Grover,Drama Romance War,Nandita Das,eart,Eric Peterson
1057,Warren Beatty,Warren Beatty,Action Comedy Crime Music Romance Thriller,Charlie Korsmo,dick trac,Seymour Cassel
1058,John McTiernan,Faye Dunaway,Crime Romance Thriller,Mark Margolis,the thomas crown affai,Denis Leary
1059,Penny Marshall,Adam Garcia,Biography Comedy Drama,Rosie Perez,riding in cars with boy,Alissa Dean
1060,Ted Kotcheff,Brian Dennehy,Action Adventure Drama,Sylvester Stallone,first bloo,Chris Mulkey
1061,Andrei Tarkovsky,Anatoliy Solonitsyn,Drama Mystery Sci-Fi,Donatas Banionis,solari,Natalya Bondarchuk
1062,Paul Bolger,George Carlin,Adventure Animation Comedy Family Fantasy,Sarah Michelle Gellar,happily n'ever afte,Rob Paulsen
1063,Stephen Frears,Bronagh Gallagher,Drama Horror Romance Thriller,Julia Roberts,mary reill,George Cole
1064,P.J. Hogan,Christopher Masterson,Comedy Romance,Julia Roberts,my best friend's weddin,Rupert Everett
1065,Joe Roth,Rainn Wilson,Comedy Romance,Julia Roberts,america's sweetheart,Larry King
1066,Christopher Nolan,Maura Tierney,Drama Mystery Thriller,Al Pacino,insomni,Crystal Lowe
1067,Jonathan Frakes,Alfre Woodard,Action Adventure Drama Sci-Fi Thriller,LeVar Burton,star trek: first contac,Jonathan Frakes
1068,Jimmy Hayward,Billy Blair,Action Drama Fantasy Thriller Western,Michael Fassbender,jonah he,Julia Jones
1069,Edward Zwick,Matt Damon,Action Drama Mystery Thriller War,Denzel Washington,courage under fir,Scott Glenn
1070,Tom Shadyac,Swoosie Kurtz,Comedy Fantasy Romance,Maura Tierney,liar lia,Randall 'Tex' Cobb
1071,Brad Furman,Amy Ryan,Biography Crime Drama Thriller,Joseph Gilgun,the infiltrato,Olympia Dukakis
1072,Terence Young,Ben Gazzara,Drama History War,Laurence Olivier,incho,Jacqueline Bisset
1073,Brian Levant,Elizabeth Perkins,Comedy Family Fantasy,Jonathan Winters,the flintstone,Harvey Korman
1074,Olivier Megaton,Luke Grimes,Action Crime Thriller,Liam Neeson,taken ,D.B. Sweeney
1075,David Zucker,Pamela Anderson,Comedy,Regina Hall,scary movie ,Jenny McCarthy
1076,Donald Petrie,Wendy Raquel Robinson,Action Comedy Crime Romance,Candice Bergen,miss congenialit,Heather Burns
1077,Eric Brevig,Brendan Fraser,Action Adventure Family Fantasy Sci-Fi,Josh Hutcherson,journey to the center of the eart,Anita Briem
1078,Garry Marshall,Raven-Symoné,Comedy Family Romance,Anne Hathaway,the princess diaries 2: royal engagemen,Hector Elizondo
1079,Alan J. Pakula,Julia Roberts,Crime Drama Mystery Thriller,Denzel Washington,the pelican brie,Tony Goldwyn
1080,Joel Schumacher,Anthony LaPaglia,Crime Drama Mystery Thriller,Bradley Whitford,the clien,Brad Renfro
1081,Rob Reiner,Noel Gugliemi,Adventure Comedy Drama,Morgan Freeman,the bucket lis,Sean Hayes
1082,Phillip Noyce,Polly Walker,Action Thriller,Harrison Ford,patriot game,Patrick Bergin
1083,Robert Luketic,Jane Fonda,Comedy Romance,Adam Scott,monster-in-la,Elaine Stritch
1084,Denis Villeneuve,Jake Gyllenhaal,Crime Drama Mystery Thriller,Hugh Jackman,prisoner,Dylan Minnette
1085,Antoine Fuqua,Snoop Dogg,Crime Drama Thriller,Denzel Washington,training da,Tom Berenger
1086,Dean Parisot,Enrico Colantoni,Adventure Comedy Sci-Fi,Alan Rickman,galaxy ques,Robin Sachs
1087,Keenen Ivory Wayans,Veronica Cartwright,Comedy,Natasha Lyonne,scary movie ,Andy Richter
1088,James Bobin,Eric Jacobson,Adventure Comedy Family Musical,Bill Cobbs,the muppet,Steve Whitmire
1089,Stephen Norrington,Traci Lords,Action Horror,Sanaa Lathan,blad,Udo Kier
1090,Thomas Carter,Rick Gonzalez,Drama Sport,Channing Tatum,coach carte,Robert Ri'chard
1091,Roger Michell,Matt Malloy,Drama Thriller,Sydney Pollack,changing lane,Bruce Altman
1092,Luis Llosa,Eric Stoltz,Action Adventure Horror Thriller,Frank Welker,anacond,Kari Wuhrer
1093,David McNally,Tyra Banks,Comedy Drama Music Romance,Adam Garcia,coyote ugl,Izabella Miko
1094,Richard Curtis,Liam Neeson,Comedy Drama Romance,Colin Firth,love actuall,Kris Marshall
1095,John Lasseter,Madeline Kahn,Adventure Animation Comedy Family Fantasy,Kevin Spacey,a bug's lif,John Ratzenberger
1096,Albert Hughes,Jason Flemyng,Horror Mystery Thriller,Johnny Depp,from hel,Ian Richardson
1097,Luis Llosa,Rod Steiger,Action Crime Drama Romance Thriller,Sylvester Stallone,the specialis,Emilio Estefan Jr.
1098,Ron Shelton,Cheech Marin,Comedy Drama Romance Sport,Don Johnson,tin cu,Rene Russo
1099,Melville Shavelson,Tom Bosley,Comedy Family,Lucille Ball,"yours, mine and our",Tim Matheson
1100,Jesse Dylan,Will Ferrell,Comedy Family Romance Sport,Josh Hutcherson,kicking & screamin,Robert Duvall
1101,Garth Jennings,Kelly Macdonald,Adventure Comedy Sci-Fi,Zooey Deschanel,the hitchhiker's guide to the galax,Thomas Lennon
1102,Joel Zwick,Nick Zano,Comedy Family Fantasy Romance,Dania Ramirez,fat alber,Alice Greczyn
1103,Russell Mulcahy,Mike Epps,Action Horror Sci-Fi Thriller,Milla Jovovich,resident evil: extinctio,James Tumminia
1104,Frank Coraci,Adam Sandler,Comedy Romance,Bella Thorne,blende,Joel McHale
1105,Wayne Wang,Alicia Witt,Adventure Comedy Drama,LL Cool J,last holida,Timothy Hutton
1106,Curtis Hanson,Glenn Morshower,Action Adventure Crime Thriller,Meryl Streep,the river wil,William Lucking
1107,Frank Oz,Vincent Kartheiser,Drama Family Fantasy,Steve Coogan,the indian in the cupboar,David Keith
1108,Oliver Stone,Shea Whigham,Crime Drama Thriller,Demián Bichir,savage,Gary Stretch
1109,David R. Ellis,Valerie Cruz,Action Crime Thriller,Richard Burgi,cellula,Will Beinbrink
1110,Peter Howitt,Natalie Imbruglia,Action Adventure Comedy,Kevin McNally,johnny englis,Ben Miller
1111,John A. Davis,Meryl Streep,Adventure Animation Comedy Family Fantasy,Nicolas Cage,the ant bull,Julia Roberts
1112,David Lynch,Jürgen Prochnow,Action Adventure Sci-Fi,Virginia Madsen,dun,José Ferrer
1113,Julie Taymor,T.V. Carpio,Drama Fantasy Musical Romance,Jim Sturgess,across the univers,Robert Clohessy
1114,Sam Mendes,Kate Winslet,Drama Romance,Leonardo DiCaprio,revolutionary roa,Joe Komara
1115,Richard Donner,David Zayas,Action Crime Drama Thriller,Bruce Willis,16 block,Sasha Roiz
1116,Mathieu Kassovitz,Charlotte Rampling,Action Adventure Sci-Fi Thriller,Vin Diesel,babylon a.d,David Belle
1117,John Gray,Bob Gunton,Action Comedy Crime Drama Thriller,Alexa PenaVega,the glimmer ma,Keenen Ivory Wayans
1118,Harold Ramis,Brian Doyle-Murray,Comedy Romance Sci-Fi,John de Lancie,multiplicit,Obba Babatundé
1119,John Schultz,Carter Jenkins,Adventure Comedy Family Fantasy Sci-Fi,Malese Jow,aliens in the atti,Tim Meadows
1120,Sean Penn,Adrien Dorval,Crime Drama Mystery Thriller,Costas Mandylor,the pledg,Nels Lennarson
1121,Susan Stroman,Will Ferrell,Comedy Musical,Jon Lovitz,the producer,Matthew Broderick
1122,Pete Travis,Jason Cope,Action Sci-Fi,Wood Harris,dred,Rakie Ayola
1123,Simon Wincer,Treat Williams,Action Adventure Comedy Fantasy,Cary-Hiroyuki Tagawa,the phanto,Kristy Swanson
1124,Billy Bob Thornton,Henry Thomas,Drama Romance Western,Matt Damon,all the pretty horse,Sam Shepard
1125,Oliver Stone,Bob Hoskins,Biography Drama History,Anthony Hopkins,nixo,Joan Allen
1126,Roman Polanski,Olivia Williams,Mystery Thriller,Jim Belushi,the ghost write,Timothy Hutton
1127,Stephen Sommers,Jason Flemyng,Action Adventure Horror Sci-Fi,Djimon Hounsou,deep risin,Wes Studi
1128,Spike Lee,Omari Hardwick,Action Crime Drama Thriller War,Joseph Gordon-Levitt,miracle at st. ann,Laz Alonso
1129,Yimou Zhang,Ye Liu,Drama Romance,Li Gong,curse of the golden flowe,Man Li
1130,Danny Pang,Charlie Yeung,Action Crime Thriller,Nicolas Cage,bangkok dangerou,James With
1131,Barry Sonnenfeld,Janeane Garofalo,Comedy Crime Thriller,Zooey Deschanel,big troubl,Omar Epps
1132,Mike Newell,Giovanna Mezzogiorno,Drama Romance,Marcela Mar,love in the time of choler,Unax Ugalde
1133,,Clotilde Hesme,Drama Fantasy Horror Mystery,Pierre Perrier,the returned           ,Céline Sallette
1134,George P. Cosmatos,Ben Gazzara,Action Thriller,Sam Waterston,shadow conspirac,Nicholas Turturro
1135,Oliver Parker,Tim McInnerny,Action Adventure Comedy Crime,Daniel Kaluuya,johnny english rebor,Togo Igawa
1136,Lawrence Kasanoff,Larry Miller,Action Animation Comedy Family Fantasy,Jerry Stiller,foodfight,Harvey Fierstein
1137,Ben Affleck,Scoot McNairy,Biography Drama History Thriller,Clea DuVall,arg,Tate Donovan
1138,Andrew Davis,Daniel Roebuck,Action Adventure Crime Drama Mystery Thriller,Harrison Ford,the fugitiv,Sela Ward
1139,Andy Tennant,Dorian Missick,Action Comedy Romance,Gerard Butler,the bounty hunte,Peter Greene
1140,Barry Levinson,Brad Pitt,Crime Drama Thriller,Robert De Niro,sleeper,Minnie Driver
1141,George P. Cosmatos,Julia Nickson,Action Adventure Thriller War,Sylvester Stallone,rambo: first blood part i,Martin Kove
1142,Brian Gibson,Demi Moore,Drama Thriller,Joseph Gordon-Levitt,the juro,Anne Heche
1143,Norman Ferguson,Dickie Jones,Animation Family Fantasy Musical,Mel Blanc,pinocchi,Cliff Edwards
1144,Michael Cimino,Sam Waterston,Adventure Drama Western,Jeff Bridges,heaven's gat,Isabelle Huppert
1145,Len Wiseman,Tony Curran,Action Adventure Fantasy Sci-Fi Thriller,Sophia Myles,underworld: evolutio,Derek Jacobi
1146,Paul McGuigan,Spencer Wilding,Drama Horror Sci-Fi Thriller,Daniel Radcliffe,victor frankenstei,Daniel Mays
1147,Gus Van Sant,Rob Brown,Drama,F. Murray Abraham,finding forreste,Michael Nouri
1148,Betty Thomas,Viggo Mortensen,Comedy Drama,Steve Buscemi,28 day,Elizabeth Perkins
1149,Louis Leterrier,Jet Li,Action Crime Drama Thriller,Morgan Freeman,unleashe,Bob Hoskins
1150,Roger Kumble,Lillian Adams,Comedy Romance,Judith Chapman,the sweetest thin,Chelsea Bond
1151,Sydney Pollack,Holly Hunter,Drama Mystery Thriller,Tom Cruise,the fir,Wilford Brimley
1152,Burr Steers,Charlie Tahan,Drama Fantasy Romance,Augustus Prew,charlie st. clou,Valerie Tian
1153,Simon West,Tony Goldwyn,Action Crime Thriller,Jason Statham,the mechani,Mini Anden
1154,Phil Lord,Dax Flame,Action Comedy Crime,Channing Tatum,21 jump stree,Rob Riggle
1155,Roger Michell,Clarke Peters,Comedy Drama Romance,Julia Roberts,notting hil,Dylan Moran
1156,Peter Lord,Miranda Richardson,Adventure Animation Comedy Drama Family,Imelda Staunton,chicken ru,Julia Sawalha
1157,John Hamburg,Masi Oka,Comedy Romance,Philip Seymour Hoffman,along came poll,Debra Messing
1158,Reginald Hudlin,Eartha Kitt,Comedy Drama Romance,John Witherspoon,boomeran,Geoffrey Holder
1159,Paul Feig,William Xifaras,Action Comedy Crime,Michael Rapaport,the hea,Demián Bichir
1160,Joseph L. Mankiewicz,Richard Burton,Biography Drama History Romance,Martin Landau,cleopatr,Roddy McDowall
1161,Frank Coraci,Reggie Lee,Action Comedy Sport,Salma Hayek,here comes the boo,Charice
1162,Carl Franklin,Adam Scott,Crime Drama Mystery Thriller,Morgan Freeman,high crime,Bruce Davison
1163,Barbra Streisand,Austin Pendleton,Comedy Drama Romance,Jeff Bridges,the mirror has two face,Mimi Rogers
1164,Mark Pellington,Will Patton,Drama Horror Mystery Thriller,Debra Messing,the mothman prophecie,David Eigenberg
1165,Larry Charles,Elton John,Comedy,Bono,brün,Slash
1166,John Glen,Talisa Soto,Action Adventure Thriller,Robert Davi,licence to kil,Anthony Zerbe
1167,Catherine Hardwicke,Billy Burke,Fantasy Horror Mystery Thriller,Gary Oldman,red riding hoo,Virginia Madsen
1168,John Herzfeld,Charlize Theron,Action Crime Drama Thriller,Robert De Niro,15 minute,Kelsey Grammer
1169,Annabel Jankel,Fisher Stevens,Adventure Comedy Family Fantasy Sci-Fi,Bob Hoskins,super mario bros,Fiona Shaw
1170,Andrew Niccol,Jeremy Crutchley,Crime Drama Thriller,Nicolas Cage,lord of wa,Jared Burke
1171,Yimou Zhang,Tony Chiu Wai Leung,Action Adventure History,Jet Li,her,Maggie Cheung
1172,Julie Anne Robinson,Debbie Reynolds,Action Comedy Crime Romance Thriller,Fisher Stevens,one for the mone,Patrick Fischler
1173,Evan Goldberg,Randall Park,Comedy,James Franco,the intervie,Anders Holm
1174,Sngmoo Lee,Dong-gun Jang,Action Fantasy Western,Tony Cox,the warrior's wa,Jed Brophy
1175,,Gavin MacLeod,Comedy War,Tim Conway,mchale's navy           ,Bob Hastings
1176,Jean-Pierre Jeunet,Dany Boon,Action Comedy Crime,Omar Sy,micmac,André Dussollier
1177,Curtis Hanson,Omar Benson Miller,Drama Music,Mekhi Phifer,8 mil,Evan Jones
1178,Jamel Debbouze,Youssef Hajdi,Adventure Animation Comedy Family,Jamel Debbouze,animal kingdom: let's go ap,Mélissa Theuriau
